container_x,total_disk_read_throughput,total_disk_write_throughput,rss,vsize,cpu_usage,time_,rx_bytes_per_ns,tx_bytes_per_ns,latency_p50,latency_p90,latency_p99,request_throughput,errors_per_ns
b'fd-svc-deployment',0.0032214009,0.0032216745,725852979.2,3155729203.2,0.668,1717934560000000000,0.0032533597,1.15554e-05,319587195.0,441864820.0,564203474.0,4.1e-09,0.0
b'fd-svc-deployment',0.0045698943,0.0045703695,725822259.2,3156568473.6,0.797,1717934570000000000,0.0046219549,1.7748e-05,393383747.0,500964270.0,600494196.0,7.4e-09,0.0
b'fd-svc-deployment',0.0063678855,0.0063685047,725948825.6,3230424268.8,0.858,1717934580000000000,0.0065047221,2.33117e-05,473427757.0,593855638.0,755454052.0,8.7e-09,0.0
b'fd-svc-deployment',0.0054688899,0.0053421013,725995520.0,3229584998.4,0.776,1717934590000000000,0.0053656214,1.78266e-05,516113369.0,701878741.0,895845970.0,8.6e-09,0.0
b'fd-svc-deployment',0.0055438062,0.005544303,725910732.8,3222031564.8,0.729,1717934600000000000,0.0056411911,1.94975e-05,413745059.0,683680487.0,890823268.0,7e-09,0.0
b'fd-svc-deployment',0.0036708987,0.0036712803,725870182.4,3164961177.6,0.76,1717934610000000000,0.0037112418,1.35588e-05,482611767.0,603528809.0,700247946.0,6.1e-09,0.0
b'fd-svc-deployment',0.003745815,0.0037461678,725812019.2,3151532851.2,0.605,1717934620000000000,0.0038654689,1.39912e-05,316157186.0,483238692.0,521567542.0,5.4e-09,0.0
b'fd-svc-deployment',0.0036708987,0.0036712731,725776793.6,3149854310.4,0.75,1717934630000000000,0.0037107869,1.40427e-05,310815218.0,496377063.0,601237192.0,5.9e-09,0.0
b'fd-svc-deployment',0.0019478238,0.0019480038,725744025.6,3125515468.8,0.512,1717934640000000000,0.0019672976,7.2618e-06,312168696.0,410891136.0,476113201.0,2.5e-09,0.0
b'fd-svc-deployment',0.0058434714,0.0058440474,726001254.4,3178389504.0,0.9,1717934650000000000,0.0059156956,2.10913e-05,368909876.0,503488145.0,738452795.0,8.1e-09,0.0
b'fd-svc-deployment',0.0050943084,0.005094762,726008217.6,3197692723.2,0.721,1717934660000000000,0.0051608602,1.72822e-05,491939004.0,604176119.0,693305123.0,7.2e-09,0.0
b'fd-svc-deployment',0.005244141,0.0052446594,725959475.2,3229584998.4,0.75,1717934670000000000,0.0053234242,1.84924e-05,579836107.0,713728110.0,816264148.0,8e-09,0.0
b'fd-svc-deployment',0.004494978,0.0044954316,725877145.6,3190978560.0,0.648,1717934680000000000,0.0045584632,1.63273e-05,407061330.0,642252049.0,705996630.0,7.1e-09,0.0
b'fd-svc-deployment',0.004494978,0.0044205297,725828812.8,3180068044.8,0.75,1717934690000000000,0.0044241921,1.63194e-05,417812482.0,684621135.0,843481614.0,7.2e-09,0.0
b'fd-svc-deployment',0.0033712335,0.0033125771,725819801.6,3149015040.0,0.654,1717934700000000000,0.0033611324,1.14854e-05,391361326.0,416958778.0,603510998.0,4.8e-09,0.0
b'fd-svc-deployment',0.0038207313,0.0038210913,726022144.0,3159086284.8,0.717,1717934710000000000,0.0038624768,1.4144e-05,302431723.0,481889120.0,508970102.0,6e-09,0.0
b'fd-svc-deployment',0.0015732423,0.0015013353,725988966.4,3131390361.6,0.395,1717934720000000000,0.0015892097,5.6292e-06,388718963.0,481854151.0,493317184.0,3e-09,0.0
b'fd-svc-deployment',0.0051692247,0.0051697143,726009446.4,3167478988.8,0.857,1717934730000000000,0.0052229688,1.81636e-05,393543290.0,513062517.0,683820787.0,7.4e-09,0.0
b'fd-svc-deployment',0.0049444758,0.0049449366,725956198.4,3171675340.8,0.757,1717934740000000000,0.005084676,1.75353e-05,404550624.0,607496448.0,689533346.0,7.2e-09,0.0
b'fd-svc-deployment',0.0051692247,0.0051697431,725900492.8,3195174912.0,0.736,1717934750000000000,0.0053612014,1.84214e-05,506388869.0,685356981.0,897514897.0,8.2e-09,0.0
b'fd-svc-deployment',0.0043451454,0.0043455702,725842739.2,3194335641.6,0.609,1717934760000000000,0.0044000937,1.58628e-05,503709300.0,699090220.0,807563726.0,6.7e-09,0.0
b'fd-svc-deployment',0.002996652,0.0029969688,738742681.6,3798670131.2,0.838,1717934770000000000,0.0030665455,1.02402e-05,886854826.0,1200497413.0,1388535239.0,4.9e-09,0.0
b'fd-svc-deployment',0.0011237445,0.0011238309,738664448.0,3726492876.8,0.898,1717934780000000000,0.00111416,3.9934e-06,1042083698.0,2471532940.0,3310804179.0,1.4e-09,0.0
b'fd-svc-deployment',0.0017979912,0.0017981856,738652160.0,3751670988.8,0.899,1717934790000000000,0.0018278101,6.3966e-06,810721442.0,1294518304.0,1493475031.0,3.1e-09,0.0
b'fd-svc-deployment',0.0008240793,0.0008241801,738630451.2,3724814336.0,0.9,1717934800000000000,0.0008348658,3.1256e-06,808998748.0,2395909678.0,4192171492.0,1.5e-09,0.0
b'fd-svc-deployment',0.0010488282,0.0010488858,738622668.8,3713064550.4,0.901,1717934810000000000,0.001062607,3.7988e-06,1000044811.0,1307121660.0,1309555992.0,8e-10,0.0
b'fd-svc-deployment',0.0023224053,0.0023226501,738625126.4,3744956825.6,0.902,1717934820000000000,0.002299001,8.3228e-06,815153105.0,1296739407.0,2388437121.0,3.9e-09,0.0
b'fd-svc-deployment',0.0032963172,0.003355571,738639052.8,3791116697.6,0.897,1717934830000000000,0.0035122348,1.20249e-05,906423968.0,1189971763.0,2904195137.0,4.1e-09,0.0
b'fd-svc-deployment',0.0032214009,0.0032217177,738611200.0,3789438156.8,0.897,1717934840000000000,0.0032544886,1.15908e-05,993583437.0,1346139163.0,1399658435.0,5e-09,0.0
b'fd-svc-deployment',0.0025471542,0.0026784013,738541977.6,3776009830.4,0.9,1717934850000000000,0.0027930324,9.7277e-06,813755190.0,1292632098.0,2712858829.0,3.5e-09,0.0
b'fd-svc-deployment',0.0019478238,0.001948047,738508390.4,3749153177.6,0.896,1717934860000000000,0.0019818185,7.6686e-06,997454428.0,1396290480.0,1699008473.0,3.5e-09,0.0
b'fd-svc-deployment',0.001498326,0.0014984772,738460467.2,3720617984.0,0.903,1717934870000000000,0.001524277,5.852e-06,801950908.0,1142232331.0,2302478788.0,2.3e-09,0.0
b'fd-svc-deployment',0.0017230749,0.0017232477,738427699.2,3731528499.2,0.9,1717934880000000000,0.0017498206,6.4384e-06,791105282.0,1221116721.0,2993867897.0,2.4e-09,0.0
b'fd-svc-deployment',0.0003745815,0.0003746103,738408448.0,3704671846.4,0.899,1717934890000000000,0.0003805378,1.5084e-06,686015464.0,2453322404.0,2787431808.0,7e-10,0.0
b'fd-svc-deployment',0.0023224053,0.0023226285,738630451.2,3763420774.4,0.898,1717934900000000000,0.0023807297,8.4006e-06,816774617.0,1206700591.0,1904429082.0,3.2e-09,0.0
b'fd-svc-deployment',0.0023224053,0.0023975232,738687385.6,3755867340.8,0.901,1717934910000000000,0.002429893,8.2166e-06,807667857.0,1301447512.0,2495869594.0,3.5e-09,0.0
b'fd-svc-deployment',0.0029217357,0.0029220525,738670182.4,3767617126.4,0.902,1717934920000000000,0.0029685164,1.11494e-05,910599428.0,1195941203.0,1907501596.0,4.5e-09,0.0
b'fd-svc-deployment',0.0025471542,0.0025474134,738655027.2,3787759616.0,0.902,1717934930000000000,0.0025967831,9.584e-06,945451109.0,1374882985.0,3323537158.0,3.6e-09,0.0
b'fd-svc-deployment',0.0032963172,0.0032966484,738608332.8,3788598886.4,0.9,1717934940000000000,0.0033582606,1.2087e-05,900742445.0,1236599299.0,1487464895.0,5.2e-09,0.0
b'fd-svc-deployment',0.0008989956,0.000899082,738510028.8,3722296524.8,0.901,1717934950000000000,0.0009107266,3.4404e-06,1053941721.0,1815324651.0,2800773705.0,1.2e-09,0.0
b'fd-svc-deployment',0.0019478238,0.0019480326,738530099.2,3760902963.2,0.902,1717934960000000000,0.0019785363,7.8373e-06,850942960.0,1263930144.0,3516219320.0,3e-09,0.0
b'fd-svc-deployment',0.0010488282,0.001048929,738469888.0,3718939443.2,0.723,1717934970000000000,0.0010684679,4.1455e-06,710271826.0,1508766299.0,3103737625.0,1.5e-09,0.0
b'fd-svc-deployment',0.0026220705,0.0026222865,725853798.4,3134747443.2,0.568,1717934980000000000,0.0026432223,8.8744e-06,377808843.0,484857701.0,582707015.0,3e-09,0.0
b'fd-svc-deployment',0.005244141,0.0052446666,725851750.4,3168318259.2,0.877,1717934990000000000,0.005278002,1.92629e-05,395733032.0,529384566.0,674326433.0,8.2e-09,0.0
b'fd-svc-deployment',0.0062929692,0.0062935236,725922611.2,3216156672.0,0.829,1717935000000000000,0.0063860739,2.1181e-05,493711552.0,609882711.0,706965082.0,7.7e-09,0.0
b'fd-svc-deployment',0.0057685551,0.0057691023,726117580.8,3216995942.4,0.769,1717935010000000000,0.005770229,1.93371e-05,508326185.0,689120731.0,799660566.0,8.7e-09,0.0
b'fd-svc-deployment',0.0050193921,0.0050198313,726032793.6,3188460748.8,0.67,1717935020000000000,0.0050875692,1.88381e-05,401760352.0,589826212.0,800652711.0,7.4e-09,0.0
b'fd-svc-deployment',0.0038207313,0.0038211273,725992652.8,3175032422.4,0.77,1717935030000000000,0.0038662836,1.40138e-05,499577512.0,622135608.0,798973197.0,6.6e-09,0.0
b'fd-svc-deployment',0.0032963172,0.0032966484,725924659.2,3156568473.6,0.611,1717935040000000000,0.0033352163,1.23378e-05,385122717.0,500313389.0,605979348.0,4.9e-09,0.0
b'fd-svc-deployment',0.0038956476,0.0038370497,725902131.2,3154050662.4,0.731,1717935050000000000,0.0038687611,1.52708e-05,306253574.0,502610604.0,602283709.0,5.7e-09,0.0
b'fd-svc-deployment',0.0018729075,0.0018730803,725852569.6,3119640576.0,0.421,1717935060000000000,0.0019325123,7.0969e-06,310550203.0,446290706.0,496683391.0,2.9e-09,0.0
b'fd-svc-deployment',0.0053939736,0.0053944776,725906636.8,3185103667.2,0.847,1717935070000000000,0.005459087,1.93502e-05,399424537.0,509168675.0,613846959.0,7.5e-09,0.0
b'fd-svc-deployment',0.0048695595,0.0048700275,725876736.0,3209442508.8,0.74,1717935080000000000,0.0048561747,1.68648e-05,499659198.0,692685391.0,795124336.0,7.1e-09,0.0
b'fd-svc-deployment',0.0050193921,0.0050199033,726093004.8,3236299161.6,0.759,1717935090000000000,0.0052354475,1.66796e-05,594696017.0,730384750.0,817546984.0,7.4e-09,0.0
b'fd-svc-deployment',0.0042702291,0.0042706467,725997158.4,3191817830.4,0.676,1717935100000000000,0.0042795285,1.47396e-05,510438827.0,687337144.0,714571188.0,6.6e-09,0.0
b'fd-svc-deployment',0.0049444758,0.0049449582,725971763.2,3194335641.6,0.78,1717935110000000000,0.0049745813,1.75315e-05,485001003.0,702855397.0,888224477.0,7.8e-09,0.0
b'fd-svc-deployment',0.0031464846,0.0031467798,725871001.6,3147336499.2,0.65,1717935120000000000,0.0032558257,1.1766e-05,322390093.0,493889371.0,619879041.0,4.5e-09,0.0
b'fd-svc-deployment',0.0038207313,0.0038211057,725928755.2,3154050662.4,0.698,1717935130000000000,0.0038607931,1.394e-05,311288397.0,481499273.0,674290094.0,6e-09,0.0
b'fd-svc-deployment',0.0016481586,0.001648317,726045900.8,3128872550.4,0.408,1717935140000000000,0.0016039267,5.8748e-06,342141400.0,503849484.0,572508815.0,3.2e-09,0.0
b'fd-svc-deployment',0.0045698943,0.0045703263,726088089.6,3174193152.0,0.847,1717935150000000000,0.0046279315,1.59641e-05,410713178.0,517264466.0,687300326.0,6.4e-09,0.0
b'fd-svc-deployment',0.0046448106,0.0046452426,726021324.8,3181746585.6,0.73,1717935160000000000,0.0047176112,1.67418e-05,412826304.0,607219634.0,707632070.0,6.7e-09,0.0
b'fd-svc-deployment',0.0047197269,0.0047202237,725969715.2,3211121049.6,0.716,1717935170000000000,0.0047818096,1.60041e-05,508740397.0,699376185.0,792716827.0,7.6e-09,0.0
b'fd-svc-deployment',0.0039705639,0.0039709671,725898854.4,3206085427.2,0.679,1717935180000000000,0.0040380171,1.39561e-05,581722573.0,801112095.0,905114020.0,6.3e-09,0.0
b'fd-svc-deployment',0.0055438062,0.0055443678,726061875.2,3209442508.8,0.868,1717935190000000000,0.0056023097,1.9573e-05,498254073.0,674467564.0,781257126.0,8.6e-09,0.0
b'fd-svc-deployment',0.0024722379,0.0024724755,726038528.0,3129711820.8,0.648,1717935200000000000,0.0024939881,9.7026e-06,323615191.0,435860807.0,601279148.0,3.3e-09,0.0
b'fd-svc-deployment',0.0047197269,0.0047201949,726027468.8,3154889932.8,0.815,1717935210000000000,0.0047518938,1.78194e-05,310209652.0,423261844.0,674010048.0,7.5e-09,0.0
b'fd-svc-deployment',0.0024722379,0.0024724755,725971353.6,3126354739.2,0.449,1717935220000000000,0.0024962608,9.6305e-06,268354076.0,478197768.0,585577348.0,3.3e-09,0.0
b'fd-svc-deployment',0.0048695595,0.0048700203,725984870.4,3155729203.2,0.845,1717935230000000000,0.004959529,1.69448e-05,327407318.0,506927788.0,666005321.0,6.8e-09,0.0
b'fd-svc-deployment',0.0031464846,0.0031467582,1811882803.2,7188214988.8,0.651,1717935240000000000,0.0031625765,1.20719e-05,381596881.0,597051015.0,2874869989.0,4.8e-09,0.0
b'fd-svc-deployment',0.0007508678,0.000749247,4494195825.777777,15999925452.8,0.205,1717935250000000000,0.0011109342,3.8316e-06,1205505391.0,1915540109.0,2187923057.0,1.5e-09,0.0
b'fd-svc-deployment',0.000526332,0.0005244276,3903673002.6666665,14235864678.4,0.139,1717935260000000000,0.0005358636,1.4966e-06,0.0,0.0,0.0,0.0,0.0
b'fd-svc-deployment',0.002024658,0.0020230272,4279116800.0,15002181632.0,0.326,1717935270000000000,0.0019509682,7.4525e-06,4203148170.0,18071901907.0,18794392374.0,4.1e-09,0.0
b'fd-svc-deployment',0.0001517505,0.0001498893,3902879470.933333,13771005405.866669,0.073,1717935280000000000,0.0001524685,6.772e-07,3676467037.0,4523312190.0,4523885704.0,6e-10,0.0
b'fd-svc-deployment',0.0015751602,0.0015733854,3153474628.266667,11582045798.4,0.264,1717935290000000000,0.0015890393,5.4534e-06,1392005082.0,4970032613.0,6920675200.0,2e-09,0.0
b'fd-svc-deployment',0.0002264537,0.0002248041,3530362880.0,12684333056.0,0.096,1717935300000000000,0.000226699,7.824e-07,6182677713.0,7477954444.0,7478071060.0,6e-10,0.0
b'fd-svc-deployment',0.0006761646,0.0006742746,3532145049.6,12617768550.4,0.058,1717935310000000000,0.0006790298,2.134e-06,2137629006.0,2381868202.0,2381868202.0,2e-10,0.0
b'fd-svc-deployment',0.0009009135,0.0008991243,3916633201.7777777,13834615193.6,0.224,1717935320000000000,0.0009166022,3.2348e-06,1607000224.0,8516249706.0,9017714524.0,1.6e-09,0.0
b'fd-svc-deployment',0.0009760429,0.0009740061,4280526028.8,14878992793.6,0.136,1717935330000000000,0.0010356094,3.561e-06,1999229509.0,7764320902.0,7769698625.0,1.4e-09,0.0
b'fd-svc-deployment',0.0019495286,0.0020229321,3903349145.6,13845144780.8,0.377,1717935340000000000,0.0020240361,6.9834e-06,1062763815.0,3983083411.0,4801820927.0,3e-09,0.0
b'fd-svc-deployment',0.0014255407,0.0014235759,3150954496.0,11565469696.0,0.194,1717935350000000000,0.0017687831,6.2468e-06,1533890297.0,3467681599.0,3593627357.0,2.1e-09,0.0
b'fd-svc-deployment',0.0007510809,0.0007493061,2963515801.6000004,11063541760.0,0.166,1717935360000000000,0.0007606426,3.3236e-06,2699116698.0,4565702949.0,4820876415.0,1.9e-09,0.0
b'fd-svc-deployment',0.0009013396999999,0.0008990697,3526937804.8,12636860416.0,0.138,1717935370000000000,0.0007578482,2.4132e-06,1293890843.0,2055103012.0,2103147436.0,1e-09,0.0
b'fd-svc-deployment',0.0010507462,0.0010489498,3528654848.0,12666497024.0,0.214,1717935380000000000,0.0010340179,4.1878e-06,1945658421.0,5778926452.0,5791726852.0,1.6e-09,0.0
b'fd-svc-deployment',0.0003017962,0.0002996946,3151524249.6,11517913406.577778,0.051,1717935390000000000,0.000303534,9.606e-07,1238763869.0,1598927000.0,1601704170.0,7e-10,0.0
b'fd-svc-deployment',0.002024658,0.0020229408,3152246374.4,11585952563.2,0.307,1717935400000000000,0.0020407715,7.2311e-06,1506229828.0,2921032958.0,5285375014.0,2.6e-09,0.0
b'fd-svc-deployment',0.0009758298,0.0009739974,3309580219.7333336,12090050218.666666,0.223,1717935410000000000,0.0009817674,3.3988e-06,4849750445.0,5299907197.0,5351089764.0,1e-09,0.0
b'fd-svc-deployment',0.0015751602,0.0015733998,3152740352.0,11761097932.8,0.227,1717935420000000000,0.0015316984,5.3311e-06,4572069352.0,4595722718.0,8379223351.0,2e-09,0.0
b'fd-svc-deployment',0.0007508678,0.0007492614,3151720857.6,11625136128.0,0.166,1717935430000000000,0.0007637294,2.7962e-06,3388311821.0,5160958044.0,5485350276.0,1.7e-09,0.0
