container_x,total_disk_read_throughput,total_disk_write_throughput,rss,vsize,cpu_usage,time_,rx_bytes_per_ns,tx_bytes_per_ns,latency_p50,latency_p90,latency_p99,request_throughput,errors_per_ns
b'fd-svc-deployment',0.0020227401,0.0020229129,720729702.4,3169039155.2,0.252,1717725840000000000,0.0041241826,1.43169e-05,395826702.0,588272472.0,607524114.0,1.2e-09,0.0
b'fd-svc-deployment',0.0056936388,0.0056942076,720766976.0,3237859328.0,0.86,1717725850000000000,0.0057285285,1.89965e-05,587736775.0,701352019.0,982690445.0,8.8e-09,0.0
b'fd-svc-deployment',0.0023224053,0.0023226285,720664576.0,3132950528.0,0.643,1717725860000000000,0.0023385679,8.6872e-06,391692724.0,407721201.0,590366854.0,3.1e-09,0.0
b'fd-svc-deployment',0.004494978,0.0044954316,720630169.6,3161485721.6,0.798,1717725870000000000,0.0044833117,1.58924e-05,388879129.0,501111974.0,593434874.0,6.7e-09,0.0
b'fd-svc-deployment',0.0039705639,0.0040298964,720637952.0,3180788940.8,0.65,1717725880000000000,0.0041332178,1.42219e-05,450823214.0,598889067.0,701585763.0,5.8e-09,0.0
b'fd-svc-deployment',0.0058434714,0.005844069,720864870.4,3190860185.6,0.888,1717725890000000000,0.0058264772,2.06709e-05,448485891.0,606576089.0,772613610.0,9e-09,0.0
b'fd-svc-deployment',0.0038207313,0.0038210985,720782131.2,3172396236.8,0.54,1717725900000000000,0.0038682062,1.37644e-05,418543713.0,602448650.0,805621648.0,5.1e-09,0.0
b'fd-svc-deployment',0.0038956476,0.0038960004,720767385.6,3143861043.2,0.744,1717725910000000000,0.0039750534,1.35914e-05,336940962.0,437233005.0,593362056.0,5.1e-09,0.0
b'fd-svc-deployment',0.0020976564,0.0020978724,733399040.0,3757427507.2,0.815,1717725920000000000,0.0021051981,7.5406e-06,614567488.0,1076886548.0,1504005632.0,3.7e-09,0.0
b'fd-svc-deployment',0.002996652,0.0030559344,733385932.8,3779248537.6,0.902,1717725930000000000,0.0031976222,1.20383e-05,989200205.0,1301839792.0,2982697797.0,4.6e-09,0.0
b'fd-svc-deployment',0.001498326,0.0014984988,733329817.6,3746516992.0,0.899,1717725940000000000,0.0014974373,5.7289e-06,1005145371.0,1371886062.0,2508435061.0,2.7e-09,0.0
b'fd-svc-deployment',0.0020227401,0.0020229201,733323264.0,3743999180.8,0.902,1717725950000000000,0.0020631001,7.646e-06,788834592.0,1200168025.0,3490717490.0,2.7e-09,0.0
b'fd-svc-deployment',0.0009739119,0.0009740199,733301964.8,3728892313.6,0.899,1717725960000000000,0.000991402,3.6547e-06,885587492.0,1447840820.0,2706259938.0,1.7e-09,0.0
b'fd-svc-deployment',0.0032963172,0.0032966484,733392076.8,3779248537.6,0.901,1717725970000000000,0.003363218,1.20964e-05,912354171.0,1270199855.0,3592683892.0,4.7e-09,0.0
b'fd-svc-deployment',0.0024722379,0.0024725043,733487923.2,3754909696.0,0.899,1717725980000000000,0.0025235674,9.8575e-06,893102015.0,1199589593.0,3304395598.0,4.1e-09,0.0
b'fd-svc-deployment',0.0002247489,0.0002247633,733419520.0,3695321497.6,0.898,1717725990000000000,0.0002277249,9.598e-07,2746418862.0,4888272513.0,4888272513.0,2e-10,0.0
b'fd-svc-deployment',0.0023224053,0.0023226069,733473177.6,3757427507.2,0.899,1717726000000000000,0.0023579528,8.4853e-06,894407787.0,1148736464.0,2209841978.0,3.3e-09,0.0
b'fd-svc-deployment',0.0023973216,0.0023975304,733418700.8,3751552614.4,0.898,1717726010000000000,0.0024193407,9.014e-06,813340549.0,1094038057.0,2791196562.0,3.1e-09,0.0
b'fd-svc-deployment',0.0031464846,0.0031468086,733435904.0,3790159052.8,0.902,1717726020000000000,0.003130743,1.16409e-05,997313888.0,1259272490.0,1591880514.0,4.9e-09,0.0
b'fd-svc-deployment',0.0009739119,0.0009740127,733316300.8,3707910553.6,0.898,1717726030000000000,0.0009906677,4.0056e-06,992092724.0,1382957969.0,2095512340.0,1.4e-09,0.0
b'fd-svc-deployment',0.0019478238,0.0019480254,733335552.0,3743999180.8,0.898,1717726040000000000,0.0019848297,7.2962e-06,804134282.0,1205714258.0,1390973902.0,3e-09,0.0
