container_x,total_disk_read_throughput,total_disk_write_throughput,rss,vsize,cpu_usage,time_,rx_bytes_per_ns,tx_bytes_per_ns,latency_p50,latency_p90,latency_p99,request_throughput,errors_per_ns
0,0.0,0.0,0.0,0.0,0.0,1718279410000000000,0.0016696402,5.6708e-06,505207401.0,695223282.0,819993870.0,0.0,0.0
b'fd-svc-deployment',0.0026969868,0.002697246,739423027.2,3131996979.2,0.641,1718279420000000000,0.0027174475,9.618e-06,301846199.0,405289986.0,670347203.0,1.8e-09,0.0
b'fd-svc-deployment',0.0061431366,0.0061437486,739466854.4,3232709427.2,0.898,1718279430000000000,0.0061317414,2.06122e-05,510303403.0,787457737.0,1057845322.0,9.1e-09,0.0
b'fd-svc-deployment',0.0035959824,0.0035962992,739374284.8,3158014361.6,0.729,1718279440000000000,0.003609476,1.18766e-05,399587291.0,538026759.0,612471115.0,5.2e-09,0.0
b'fd-svc-deployment',0.0041953128,0.004195752,739334963.2,3159692902.4,0.742,1718279450000000000,0.0042438479,1.32966e-05,397375395.0,508075502.0,690232371.0,6.6e-09,0.0
b'fd-svc-deployment',0.003745815,0.0037461678,739300966.4,3180674662.4,0.598,1718279460000000000,0.0038026384,1.20584e-05,517044215.0,708189624.0,881700607.0,5e-09,0.0
b'fd-svc-deployment',0.0028468194,0.0028470714,751809331.2,3743884902.4,0.595,1718279470000000000,0.0029727228,1.00192e-05,658153257.0,1151084036.0,1297609938.0,4e-09,0.0
b'fd-svc-deployment',0.0017230749,0.0017952989,751784755.2,3744724172.8,0.901,1718279480000000000,0.0018118945,6.3664e-06,911409570.0,1213672216.0,3415159211.0,2.7e-09,0.0
b'fd-svc-deployment',0.0025471542,0.002547399,751842508.8,3753116876.8,0.898,1718279490000000000,0.0025786703,8.9391e-06,893952290.0,1191553834.0,1612397763.0,4e-09,0.0
b'fd-svc-deployment',0.0018729075,0.0018730803,752012902.4,3741367091.2,0.898,1718279500000000000,0.0019073216,6.098e-06,850465051.0,1190516687.0,1297630250.0,2.6e-09,0.0
b'fd-svc-deployment',0.0028468194,0.002847093,751992422.4,3754795417.6,0.9,1718279510000000000,0.0028265889,8.7638e-06,804816448.0,1094995505.0,2700523012.0,4e-09,0.0
b'fd-svc-deployment',0.002247489,0.0022477194,751924428.8,3770741555.2,0.899,1718279520000000000,0.0022578545,7.5466e-06,905285853.0,1310826196.0,2776131890.0,3.2e-09,0.0
b'fd-svc-deployment',0.0017979912,0.0018730587,751932211.2,3762348851.2,0.898,1718279530000000000,0.0019226829,6.1114e-06,1152079998.0,1417506970.0,3602388252.0,2.4e-09,0.0
b'fd-svc-deployment',0.0020227401,0.0020229633,751943270.4,3766545203.2,0.903,1718279540000000000,0.0020332618,6.7746e-06,1094625907.0,1389442901.0,1485372694.0,3.5e-09,0.0
b'fd-svc-deployment',0.0023973216,0.0023975304,751866265.6,3748920524.8,0.899,1718279550000000000,0.002428229,7.6222e-06,897929492.0,1114309825.0,1512407350.0,3.3e-09,0.0
b'fd-svc-deployment',0.0008240793,0.0008241873,751798681.6,3718706790.4,0.898,1718279560000000000,0.0008412573,3.0208e-06,795644071.0,1670676150.0,2397984001.0,1.6e-09,0.0
b'fd-svc-deployment',0.0021725727,0.0021727671,751797862.4,3763188121.6,0.9,1718279570000000000,0.0022224137,7.627e-06,1047739115.0,1475498054.0,1517595127.0,2.8e-09,0.0
b'fd-svc-deployment',0.0025471542,0.0025473774,751840870.4,3759831040.0,0.899,1718279580000000000,0.0026780608,9.0564e-06,910086862.0,1104291214.0,2889185044.0,3.3e-09,0.0
b'fd-svc-deployment',0.0020227401,0.0020229057,751785984.0,3743045632.0,0.901,1718279590000000000,0.0020631673,7.1482e-06,815229942.0,1164359304.0,3500974623.0,2.8e-09,0.0
b'fd-svc-deployment',0.0020227401,0.0020229633,751996928.0,3749759795.2,0.901,1718279600000000000,0.0020578324,7.2769e-06,798763684.0,997504424.0,1585524539.0,3.5e-09,0.0
b'fd-svc-deployment',0.0021725727,0.0021727743,752002662.4,3756473958.4,0.901,1718279610000000000,0.0022164895,7.5066e-06,705444876.0,1069570243.0,3602590019.0,3.1e-09,0.0
b'fd-svc-deployment',0.0026220705,0.0026223153,751984230.4,3774937907.2,0.901,1718279620000000000,0.0026766326,9.1368e-06,805679948.0,1156355463.0,1588913314.0,3.9e-09,0.0
b'fd-svc-deployment',0.0017230749,0.0017822489,751925248.0,3738010009.6,0.9,1718279630000000000,0.0018754887,6.8976e-06,981295299.0,1187657113.0,1478181888.0,3.3e-09,0.0
b'fd-svc-deployment',0.0023224053,0.0023225997,751977676.8,3768223744.0,0.9,1718279640000000000,0.0024080444,7.5538e-06,1008643274.0,1352193846.0,3698962946.0,3e-09,0.0
b'fd-svc-deployment',0.0018729075,0.0017261346,751890432.0,3748081254.4,0.901,1718279650000000000,0.0017540705,6.1983e-06,1003560695.0,1389328934.0,1688487994.0,3.3e-09,0.0
b'fd-svc-deployment',0.0023973216,0.0023975448,751889612.8,3765705932.8,0.901,1718279660000000000,0.0024562666,8.042e-06,904854711.0,1293674661.0,2617933016.0,3.3e-09,0.0
b'fd-svc-deployment',0.0006742467,0.0006743331,751797043.2,3715349708.8,0.9,1718279670000000000,0.0006874037,2.5314e-06,742281984.0,1350527698.0,3598903671.0,1.4e-09,0.0
b'fd-svc-deployment',0.002247489,0.0022476906,751811379.2,3756473958.4,0.9,1718279680000000000,0.0022981709,7.85e-06,1103133057.0,1378672717.0,1595710105.0,2.8e-09,0.0
b'fd-svc-deployment',0.0026969868,0.0026972244,751847424.0,3768223744.0,0.9,1718279690000000000,0.0027715963,9.3216e-06,901507262.0,1305313749.0,2900341389.0,3.6e-09,0.0
b'fd-svc-deployment',0.0032963172,0.0032966196,751803187.2,3743045632.0,0.84,1718279700000000000,0.0033625399,1.1225e-05,494202626.0,907831971.0,3606937685.0,4.7e-09,0.0
b'fd-svc-deployment',0.0042702291,0.0042706395,739468083.2,3174799769.6,0.702,1718279710000000000,0.0042404395,1.43918e-05,399384382.0,502503441.0,670729026.0,6.5e-09,0.0
b'fd-svc-deployment',0.0040454802,0.0040458546,739450470.4,3163889254.4,0.652,1718279720000000000,0.0040875456,1.44566e-05,396082545.0,499948647.0,677601309.0,6.3e-09,0.0
b'fd-svc-deployment',0.0053190573,0.0052540498,739413196.8,3205852774.4,0.862,1718279730000000000,0.0053132479,1.85437e-05,399197818.0,513019235.0,682760105.0,8.1e-09,0.0
b'fd-svc-deployment',0.0040454802,0.0040458834,739336601.6,3160532172.8,0.77,1718279740000000000,0.0040402168,1.52794e-05,395003255.0,515663741.0,675770549.0,6.4e-09,0.0
b'fd-svc-deployment',0.0041203965,0.0041207637,739315302.4,3196620800.0,0.649,1718279750000000000,0.0043087738,1.36427e-05,586325036.0,718439664.0,877719898.0,5.8e-09,0.0
b'fd-svc-deployment',0.0046448106,0.0046452786,739502489.6,3158014361.6,0.863,1718279760000000000,0.0046489764,1.78182e-05,321100476.0,686326288.0,988110514.0,7.6e-09,0.0
b'fd-svc-deployment',0.0053939736,0.0053944776,739484467.2,3193263718.4,0.786,1718279770000000000,0.005467768,1.90705e-05,395974297.0,503525617.0,586206744.0,7.2e-09,0.0
b'fd-svc-deployment',0.0020976564,0.002156824,739411968.0,3151300198.4,0.348,1718279780000000000,0.0021952603,7.2468e-06,419010395.0,528333031.0,592643610.0,3.3e-09,0.0
b'fd-svc-deployment',0.0032214009,0.0032217609,739460710.4,3161371443.2,0.756,1718279790000000000,0.0032604387,1.24367e-05,410240991.0,612691732.0,703579776.0,5.7e-09,0.0
