container_x,total_disk_read_throughput,total_disk_write_throughput,rss,vsize,cpu_usage,time_,rx_bytes_per_ns,tx_bytes_per_ns,latency_p50,latency_p90,latency_p99,request_throughput,errors_per_ns
b'fd-svc-deployment',0.0005993304,0.0005404156,534519808.0,3124916224.0,0.099,1718278140000000000,0.0016601328,5.326e-06,411732776.0,592795239.0,696329151.0,0.0,0.0
b'fd-svc-deployment',0.0053190573,0.005371981,534551347.2,3170236825.6,0.869,1718278150000000000,0.0054604851,1.90202e-05,401802202.0,583479629.0,687898129.0,5.4e-09,0.0
b'fd-svc-deployment',0.0056936388,0.0056191545,545146880.0,3466105651.2,0.755,1718278160000000000,0.005586154,1.64984e-05,1749231039.0,2605019776.0,2968649850.0,7.6e-09,0.0
b'fd-svc-deployment',0.0039705639,0.0039709455,574010163.2,3144924364.8,0.658,1718278170000000000,0.004021124,1.29836e-05,403564421.0,1013454820.0,1255179299.0,6.2e-09,0.0
b'fd-svc-deployment',0.005993304,0.0059939016,574415257.6,3181012992.0,0.9,1718278180000000000,0.0060028247,2.00266e-05,390898680.0,497493986.0,602897697.0,8.6e-09,0.0
b'fd-svc-deployment',0.0047197269,0.0047202021,574389862.4,3191923507.2,0.787,1718278190000000000,0.0047133068,1.53358e-05,489167695.0,600038616.0,697164198.0,6.8e-09,0.0
b'fd-svc-deployment',0.0035959824,0.0035963064,574431232.0,3175977369.6,0.657,1718278200000000000,0.0037257965,1.08556e-05,514647741.0,794362760.0,888502406.0,5e-09,0.0
b'fd-svc-deployment',0.0035959824,0.0035963712,574537728.0,3173459558.4,0.509,1718278210000000000,0.0035674296,1.19626e-05,484854824.0,703553206.0,894302832.0,6.1e-09,0.0
b'fd-svc-deployment',0.0030715683,0.0030718491,574509875.2,3133174579.2,0.786,1718278220000000000,0.0031168204,1.13418e-05,285331076.0,406097515.0,502370987.0,4.1e-09,0.0
b'fd-svc-deployment',0.0061431366,0.0061437054,574512742.4,3201155481.6,0.899,1718278230000000000,0.0062207474,2.16272e-05,390835115.0,510559758.0,596104798.0,8.8e-09,0.0
b'fd-svc-deployment',0.0065926344,0.0065932464,574520115.2,3240601190.4,0.9,1718278240000000000,0.0066361364,2.05556e-05,598174988.0,718736558.0,852167511.0,9.7e-09,0.0
b'fd-svc-deployment',0.0068173833,0.0068180169,575641190.4,3379920076.8,0.899,1718278250000000000,0.0068977717,2.06312e-05,798803148.0,1081597803.0,1196955502.0,9.3e-09,0.0
b'fd-svc-deployment',0.005993304,0.0060528526,582007603.2,3406776729.6,0.897,1718278260000000000,0.0062344989,1.93107e-05,1171651375.0,1408318111.0,1607960845.0,9.5e-09,0.0
b'fd-svc-deployment',0.0060682203,0.0060688107,601862144.0,3515042611.2,0.899,1718278270000000000,0.0063666382,1.86562e-05,1480590267.0,1784797583.0,1906122387.0,8.7e-09,0.0
b'fd-svc-deployment',0.0060682203,0.0060687675,617166028.8,3602326732.8,0.896,1718278280000000000,0.00609983,1.75719e-05,1704032453.0,2296811463.0,2565666389.0,8.9e-09,0.0
b'fd-svc-deployment',0.0055438062,0.0055312535,636341452.8,3637576089.6,0.898,1718278290000000000,0.0056505076,1.6127e-05,2003070618.0,2299870978.0,2658219956.0,8.8e-09,0.0
b'fd-svc-deployment',0.0053939736,0.0054666007,644357734.4,3648486604.8,0.897,1718278300000000000,0.0058970715,1.63536e-05,1997793298.0,2479363735.0,2793039687.0,8.3e-09,0.0
b'fd-svc-deployment',0.0051692247,0.0052221693,647258931.2,3646808064.0,0.899,1718278310000000000,0.0055365551,1.6304e-05,2151732735.0,2580597680.0,3044902352.0,7.8e-09,0.0
b'fd-svc-deployment',0.0059183877,0.0059713684,658515558.4,3629183385.6,0.897,1718278320000000000,0.0061091642,1.82242e-05,1904344945.0,2307997041.0,2563972008.0,8.7e-09,0.0
b'fd-svc-deployment',0.0056187225,0.0057437338,670713036.8,3623627161.6,0.898,1718278330000000000,0.0058482638,1.68832e-05,1998145899.0,2400285524.0,2767341800.0,8.4e-09,0.0
b'fd-svc-deployment',0.0055438062,0.0056164115,675144089.6,3612261580.8,0.899,1718278340000000000,0.0056537887,1.69777e-05,2111508148.0,2591957216.0,3205382348.0,8.5e-09,0.0
b'fd-svc-deployment',0.0053190573,0.0053261581,688601497.6,3602413568.0,0.899,1718278350000000000,0.0055168437,1.80159e-05,2002819166.0,2481915344.0,2870047120.0,8.2e-09,0.0
b'fd-svc-deployment',0.0056936388,0.0057662657,691418316.8,3512745984.0,0.899,1718278360000000000,0.0057838302,1.71496e-05,1596572650.0,1904988828.0,2230068114.0,8.6e-09,0.0
b'fd-svc-deployment',0.0054688899,0.0053252765,691978649.6,3422977638.4,0.899,1718278370000000000,0.0054281888,1.58814e-05,1389626602.0,1704625868.0,1949178534.0,8.2e-09,0.0
b'fd-svc-deployment',0.005993304,0.00599388,692389478.4,3319520051.2,0.9,1718278380000000000,0.0059461321,1.83992e-05,919834849.0,1209409548.0,1316410082.0,8.9e-09,0.0
b'fd-svc-deployment',0.0057685551,0.0057691239,692235468.8,3235161702.4,0.899,1718278390000000000,0.0058616983,1.9506e-05,696090573.0,895887802.0,1060585612.0,9.1e-09,0.0
b'fd-svc-deployment',0.0055438062,0.0055443462,692347289.6,3199912345.6,0.899,1718278400000000000,0.0055017325,1.87144e-05,414885799.0,602044845.0,699573512.0,8.4e-09,0.0
b'fd-svc-deployment',0.002996652,0.00299694,692282982.4,3130252902.4,0.819,1718278410000000000,0.0029588162,1.15584e-05,255663907.0,494479758.0,505017084.0,4.8e-09,0.0
b'fd-svc-deployment',0.0039705639,0.0039709311,692273561.6,3169698611.2,0.749,1718278420000000000,0.004065787,1.46195e-05,395334136.0,486506833.0,600189480.0,5.8e-09,0.0
b'fd-svc-deployment',0.0038956476,0.0038960508,692230963.2,3162984448.0,0.697,1718278430000000000,0.0039292131,1.2661e-05,388894206.0,496896851.0,603818790.0,6.3e-09,0.0
b'fd-svc-deployment',0.0040454802,0.0040458546,692179763.2,3160466636.8,0.622,1718278440000000000,0.0041038124,1.33844e-05,500173869.0,685635277.0,792611488.0,5.4e-09,0.0
b'fd-svc-deployment',0.0044200617,0.0044204649,692159283.2,3168859340.8,0.749,1718278450000000000,0.0045382335,1.44345e-05,431058656.0,611032449.0,785896211.0,6.1e-09,0.0
b'fd-svc-deployment',0.0035210661,0.0035213973,692094156.8,3164662988.8,0.662,1718278460000000000,0.0035192813,1.17311e-05,415057089.0,688407235.0,1091410310.0,5.8e-09,0.0
b'fd-svc-deployment',0.0049444758,0.004944987,692296089.6,3167180800.0,0.826,1718278470000000000,0.0050091748,1.73605e-05,394030239.0,502354331.0,613047229.0,7.6e-09,0.0
b'fd-svc-deployment',0.0058434714,0.0058440114,692342784.0,3493656985.6,0.841,1718278480000000000,0.0059622229,1.78842e-05,1714462915.0,2404184622.0,2715485869.0,7.8e-09,0.0
b'fd-svc-deployment',0.0044200617,0.0044204865,692135116.8,3156270284.8,0.649,1718278490000000000,0.0045547871,1.49871e-05,384118815.0,483919944.0,514226871.0,6.8e-09,0.0
b'fd-svc-deployment',0.0055438062,0.0055443246,692346060.8,3180609126.4,0.823,1718278500000000000,0.0055913042,1.79652e-05,403747139.0,590107136.0,689913401.0,8.4e-09,0.0
b'fd-svc-deployment',0.002996652,0.0029969688,692324352.0,3151234662.4,0.758,1718278510000000000,0.0030348461,1.13219e-05,399528368.0,593203420.0,678833365.0,5.1e-09,0.0
b'fd-svc-deployment',0.0049444758,0.0049449222,692318208.0,3205787238.4,0.681,1718278520000000000,0.0050267438,1.54416e-05,600640322.0,807666249.0,1058660324.0,6.7e-09,0.0
b'fd-svc-deployment',0.0012735771,0.0012737355,692212121.6,3126056550.4,0.311,1718278530000000000,0.0012990386,5.3612e-06,403521412.0,592215993.0,683965130.0,2.8e-09,0.0
b'fd-svc-deployment',0.0044200617,0.0044204649,692232192.0,3148716851.2,0.898,1718278540000000000,0.0044694722,1.7106e-05,305028776.0,479161760.0,507080858.0,6.3e-09,0.0
b'fd-svc-deployment',0.0063678855,0.0063684831,692272742.4,3208305049.6,0.899,1718278550000000000,0.0065219708,2.22152e-05,414115451.0,578209279.0,662857486.0,9.2e-09,0.0
b'fd-svc-deployment',0.006742467,0.0067496318,692376371.2,3260339814.4,0.899,1718278560000000000,0.0066903388,2.20748e-05,627816492.0,886059637.0,1004195769.0,9.6e-09,0.0
b'fd-svc-deployment',0.0060682203,0.0060688179,692767129.6,3353498828.8,0.898,1718278570000000000,0.0063822325,2.03116e-05,903424574.0,1206305609.0,1514555333.0,9e-09,0.0
b'fd-svc-deployment',0.0063678855,0.0063684831,694016819.2,3459246899.2,0.899,1718278580000000000,0.0065564952,2.07645e-05,1214590125.0,1477917168.0,1894346514.0,9.2e-09,0.0
b'fd-svc-deployment',0.0058434714,0.0058964374,695939891.2,3531424153.6,0.898,1718278590000000000,0.0060405481,1.8408e-05,1515654478.0,1949377320.0,2260277107.0,9e-09,0.0
b'fd-svc-deployment',0.0060682203,0.0059967091,699739340.8,3631329280.0,0.901,1718278600000000000,0.0061198901,1.78173e-05,1807551057.0,2274442713.0,2698910426.0,8.7e-09,0.0
b'fd-svc-deployment',0.005993304,0.0060593773,704246579.2,3644531507.2,0.899,1718278610000000000,0.0060256696,1.75665e-05,1990921667.0,2382830821.0,2699452031.0,8.4e-09,0.0
b'fd-svc-deployment',0.0061431366,0.0061437342,706870886.4,3654602752.0,0.899,1718278620000000000,0.006421121,1.89837e-05,1904249608.0,2399022611.0,2717850338.0,9.1e-09,0.0
b'fd-svc-deployment',0.005993304,0.005934907,707518054.4,3653763481.6,0.901,1718278630000000000,0.0058841443,1.7147e-05,1994696607.0,2382514794.0,2848493126.0,9e-09,0.0
b'fd-svc-deployment',0.0056936388,0.0056942076,711985561.6,3633620992.0,0.898,1718278640000000000,0.005973081,1.76014e-05,2005429820.0,2422825705.0,2877122737.0,8.5e-09,0.0
b'fd-svc-deployment',0.0055438062,0.0056913278,713440460.8,3648926515.2,0.898,1718278650000000000,0.0056849059,1.64294e-05,2105424956.0,2485451125.0,2842523183.0,8.2e-09,0.0
b'fd-svc-deployment',0.0056936388,0.0055078561,714106060.8,3619157606.4,0.897,1718278660000000000,0.0056141931,1.6851e-05,2119776769.0,2610048022.0,3071384256.0,8.1e-09,0.0
b'fd-svc-deployment',0.0058434714,0.0058964666,714405888.0,3588531404.8,0.899,1718278670000000000,0.00599304,1.8713e-05,1799654423.0,2157685545.0,2454487437.0,8.9e-09,0.0
b'fd-svc-deployment',0.0056187225,0.005612759,716967116.8,3505472307.2,0.899,1718278680000000000,0.0059064723,1.70248e-05,1474289731.0,1900304151.0,2397433941.0,8.9e-09,0.0
b'fd-svc-deployment',0.005993304,0.0059349218,717733888.0,3418188185.6,0.899,1718278690000000000,0.006027775,1.78757e-05,1179456097.0,1482913247.0,1584887048.0,8.6e-09,0.0
b'fd-svc-deployment',0.0059183877,0.0058534521,717575372.8,3320832819.2,0.9,1718278700000000000,0.0060795245,1.73324e-05,877712384.0,1080308935.0,1258533559.0,9.2e-09,0.0
b'fd-svc-deployment',0.0065177181,0.0065183661,717564723.2,3242780672.0,0.899,1718278710000000000,0.0065432961,2.09838e-05,504629259.0,692405713.0,899710311.0,9.9e-09,0.0
b'fd-svc-deployment',0.0051692247,0.0051697431,717416038.4,3174799769.6,0.899,1718278720000000000,0.0052263843,1.84902e-05,392435787.0,488950695.0,561970809.0,7.9e-09,0.0
b'fd-svc-deployment',0.0029217357,0.0029220093,717377536.0,3134514790.4,0.821,1718278730000000000,0.0029112744,1.05031e-05,283389531.0,431709590.0,611707119.0,4.2e-09,0.0
b'fd-svc-deployment',0.0046448106,0.0046452714,717391872.0,3178996121.6,0.727,1718278740000000000,0.0047070253,1.5771e-05,402173281.0,507303642.0,667279190.0,6.8e-09,0.0
b'fd-svc-deployment',0.002247489,0.0022476762,717477068.8,3147943116.8,0.397,1718278750000000000,0.0022703405,6.9724e-06,308792035.0,510017917.0,596571693.0,3.7e-09,0.0
b'fd-svc-deployment',0.0038956476,0.0038960724,717496729.6,3186549555.2,0.86,1718278760000000000,0.0039428527,1.31712e-05,487448160.0,695670382.0,784617395.0,6.2e-09,0.0
b'fd-svc-deployment',0.0046448106,0.004645257,717433241.6,3187388825.6,0.66,1718278770000000000,0.0047121668,1.48988e-05,496221630.0,607551187.0,699184331.0,6.2e-09,0.0
b'fd-svc-deployment',0.0050943084,0.0050948124,717380812.8,3179835392.0,0.9,1718278780000000000,0.0051609594,1.76188e-05,406704104.0,592596243.0,770444849.0,7.4e-09,0.0
