container_x,total_disk_read_throughput,total_disk_write_throughput,rss,vsize,cpu_usage,time_,rx_bytes_per_ns,tx_bytes_per_ns,latency_p50,latency_p90,latency_p99,request_throughput,errors_per_ns
b'fd-svc-deployment',0.0046448106,0.0046452354,530970624.0,3152608051.2,0.849,1717724780000000000,0.0047016088,1.61785e-05,401141752.0,501174847.0,596487249.0,6.6e-09,0.0
b'fd-svc-deployment',0.0044200617,0.0044204649,531046809.6,3141697536.0,0.771,1717724790000000000,0.0044809776,1.6367e-05,391361040.0,599652568.0,708733519.0,6.6e-09,0.0
b'fd-svc-deployment',0.0061431366,0.0061437126,531060326.4,3215553331.2,0.863,1717724800000000000,0.0062820072,2.01041e-05,512407081.0,698762726.0,800161032.0,9.2e-09,0.0
b'fd-svc-deployment',0.0040454802,0.004045689,530965708.8,3239944601.6,0.786,1717724810000000000,0.0040942741,1.45095e-05,401257585.0,1474971371.0,1812492274.0,3.7e-09,0.0
b'fd-svc-deployment',0.0045698943,0.0045114472,552554905.6,3413399142.4,0.753,1717724820000000000,0.0044202768,1.56203e-05,1719738466.0,2538813597.0,2902095244.0,9.1e-09,0.0
b'fd-svc-deployment',0.0043451454,0.0043455702,560304537.6,3141048729.6,0.762,1717724830000000000,0.0043203069,1.57505e-05,311162603.0,502467261.0,594326130.0,6.6e-09,0.0
b'fd-svc-deployment',0.0041203965,0.0040618411,560311910.4,3167066112.0,0.636,1717724840000000000,0.0041004387,1.2498e-05,585363385.0,695482936.0,851370008.0,6.1e-09,0.0
b'fd-svc-deployment',0.0051692247,0.0052352621,560232857.6,3171262464.0,0.775,1717724850000000000,0.0053423132,1.92293e-05,406050071.0,570889581.0,605078206.0,7.7e-09,0.0
b'fd-svc-deployment',0.0020227401,0.0020229705,560147251.2,3136013107.2,0.413,1717724860000000000,0.0020111376,7.2285e-06,412561311.0,607742516.0,694240807.0,4.1e-09,0.0
b'fd-svc-deployment',0.0040454802,0.0040458618,560171417.6,3130977484.8,0.899,1717724870000000000,0.0041815073,1.62072e-05,318936966.0,475284893.0,509166148.0,5.7e-09,0.0
b'fd-svc-deployment',0.0066675507,0.0066681627,560226304.0,3198958387.2,0.899,1717724880000000000,0.0066276727,2.40638e-05,402691765.0,596324391.0,651880975.0,9.6e-09,0.0
b'fd-svc-deployment',0.0064428018,0.0063713267,561158144.0,3266890547.2,0.901,1717724890000000000,0.0065155973,2.06981e-05,689109095.0,838952141.0,1054556855.0,9.2e-09,0.0
b'fd-svc-deployment',0.0060682203,0.0060032698,563181568.0,3352896716.8,0.899,1717724900000000000,0.0060311089,1.85122e-05,991217576.0,1249292864.0,1454401533.0,9e-09,0.0
b'fd-svc-deployment',0.0056936388,0.0055668507,580252876.8,3421716889.6,0.901,1717724910000000000,0.0057037129,1.80648e-05,1298155442.0,1791700192.0,2232988406.0,8.2e-09,0.0
b'fd-svc-deployment',0.0061431366,0.0060913001,601971507.2,3534179123.2,0.898,1717724920000000000,0.0063755455,2.00354e-05,1601432781.0,1903357730.0,2235376473.0,8.6e-09,0.0
b'fd-svc-deployment',0.0060682203,0.0061211867,624168140.8,3626670899.2,0.898,1717724930000000000,0.0061728444,1.96829e-05,1890924589.0,2119755310.0,2306594213.0,8.6e-09,0.0
b'fd-svc-deployment',0.0059183877,0.0059058426,638391910.4,3628275302.4,0.899,1717724940000000000,0.0060462721,1.94968e-05,1975417072.0,2395627221.0,2770377336.0,8.8e-09,0.0
b'fd-svc-deployment',0.0058434714,0.0059161202,651141939.2,3650935603.2,0.897,1717724950000000000,0.0061795068,2.00435e-05,2012397892.0,2297126831.0,2622775411.0,8.6e-09,0.0
b'fd-svc-deployment',0.0053939736,0.0054694299,655668838.4,3646739251.2,0.9,1717724960000000000,0.0056316639,1.79956e-05,2097219071.0,2588255082.0,2858057110.0,8.2e-09,0.0
