container_x,total_disk_read_throughput,total_disk_write_throughput,rss,vsize,cpu_usage,time_,rx_bytes_per_ns,tx_bytes_per_ns,latency_p50,latency_p90,latency_p99,request_throughput,errors_per_ns
0,0.0,0.0,0.0,0.0,0.0,1718321840000000000,0.0,0.0,466846790.0,496672681.0,497274015.0,0.0,0.0
b'fr-svc-deployment',0.0,0.0,519647232.0,1621499904.0,0.0,1718321850000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b'fr-svc-deployment',0.0,3e-08,523703091.2,1621499904.0,0.107,1718321860000000000,0.0003006474,1.9876e-06,264075927.0,271316978.0,271316978.0,4e-10,0.0
b'fr-svc-deployment',0.0,0.0,522862592.0,1621499904.0,0.0,1718321870000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b'fr-svc-deployment',0.0,7.5e-08,523568742.4,1624542003.2,0.252,1718321880000000000,0.0007517516,3.8296e-06,527317070.0,986931545.0,993084019.0,1e-09,0.0
b'fr-svc-deployment',0.0,3.75e-08,528743628.8,1622286336.0,0.128,1718321890000000000,0.0003757746,2.0324e-06,474089048.0,498911227.0,498911227.0,5e-10,0.0
b'fr-svc-deployment',0.0,0.0,521269248.0,1622286336.0,0.001,1718321900000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b'fr-svc-deployment',0.0,3.75e-08,525583974.4,1621657190.4,0.122,1718321910000000000,0.0003758542,2.3822e-06,213762556.0,266535389.0,266535389.0,5e-10,0.0
b'fr-svc-deployment',0.0,0.0,525819904.0,1621499904.0,0.001,1718321920000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b'fr-svc-deployment',0.0,6e-08,543301222.4,1627348172.8,0.212,1718321930000000000,0.0006025436,3.4562e-06,1043760886.0,1208653280.0,1224042799.0,8e-10,0.0
b'fr-svc-deployment',0.0,4.5e-08,536199168.0,1624017305.6,0.093,1718321940000000000,0.00022555,1.4238e-06,644224804.0,707647535.0,709668017.0,6e-10,0.0
b'fr-svc-deployment',0.0,3.75e-08,534071296.0,1622286336.0,0.124,1718321950000000000,0.0003763276,2.0864e-06,445527148.0,469381099.0,469381099.0,5e-10,0.0
b'fr-svc-deployment',0.0,3.75e-08,533801779.2,1622286336.0,0.123,1718321960000000000,0.0003757614,2.3294e-06,204918090.0,269593798.0,269593798.0,5e-10,0.0
b'fr-svc-deployment',0.0,0.0,535134208.0,1622286336.0,0.0,1718321970000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b'fr-svc-deployment',0.0,3e-08,541812736.0,1627636531.2,0.166,1718321980000000000,0.000677219,3.455e-06,892533728.0,999923553.0,1018217155.0,9e-10,0.0
b'fr-svc-deployment',0.0,0.0,521900032.0,1622810624.0,0.0,1718321990000000000,4.2e-09,4.2e-09,0.0,0.0,0.0,0.0,0.0
b'fr-svc-deployment',0.0,2.25e-08,501694054.4,1622574694.4,0.062,1718322000000000000,7.52328e-05,4.1e-07,449144742.0,505310384.0,505310384.0,5e-10,0.0
b'fr-svc-deployment',0.0,3.75e-08,497156096.0,1622469836.8,0.127,1718322010000000000,0.0003758868,2.4218e-06,252027880.0,279460051.0,279460051.0,5e-10,0.0
b'fr-svc-deployment',0.0,0.0,490401792.0,1622286336.0,0.001,1718322020000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b'fr-svc-deployment',0.0,6.75e-08,508442624.0,1627610316.8,0.222,1718322030000000000,0.0006766136,4.005e-06,1021445793.0,1138719521.0,1165700686.0,9e-10,0.0
b'fr-svc-deployment',0.0,1.5e-08,541733273.6,1622548480.0,0.067,1718322040000000000,0.0003012246,1.6344e-06,490681971.0,536577638.0,536577638.0,4e-10,0.0
b'fr-svc-deployment',0.0,0.0,538206208.0,1622548480.0,0.0,1718322050000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b'fr-svc-deployment',0.0,3.75e-08,531449446.4,1622417408.0,0.123,1718322060000000000,0.0003756096,2.2238e-06,216246853.0,268500790.0,268500790.0,5e-10,0.0
b'fr-svc-deployment',0.0,0.0,524050432.0,1622286336.0,0.0,1718322070000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b'fr-svc-deployment',0.0,7.5e-08,544090112.0,1629577216.0,0.242,1718322080000000000,0.0007515284,4.1966e-06,790505553.0,929161263.0,937412022.0,1e-09,0.0
b'fr-svc-deployment',0.0,4.5e-08,566540697.6,1624567808.0,0.144,1718322090000000000,0.0004514062,2.4522e-06,665718375.0,726370728.0,731169132.0,6e-10,0.0
b'fr-svc-deployment',0.0,4.5e-08,553922560.0,1622417408.0,0.144,1718322100000000000,0.0004508886,2.7306e-06,450745379.0,486209549.0,489787086.0,6e-10,0.0
