container_x,total_disk_read_throughput,total_disk_write_throughput,rss,vsize,cpu_usage,time_,rx_bytes_per_ns,tx_bytes_per_ns,latency_p50,latency_p90,latency_p99,request_throughput,errors_per_ns
b'fr-svc-deployment',0.0,0.0,570068992.0,1905180672.0,0.0,1717936740000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b'fr-svc-deployment',0.0,3e-08,571453440.0,1905154457.6,0.111,1717936750000000000,0.0003764728,2.115e-06,451607445.0,527835575.0,527835575.0,5e-10,0.0
b'fr-svc-deployment',0.0,0.0,562548736.0,1904918528.0,0.0,1717936760000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b'fr-svc-deployment',0.0,7.5e-08,569089638.4,1909141094.4,0.279,1717936770000000000,0.000751415,4.2454e-06,751799784.0,872285314.0,874070568.0,1e-09,0.0
b'fr-svc-deployment',0.0,2.25e-08,596550860.8,2484074905.6,0.496,1717936780000000000,0.0002258086,1.0048e-06,2100194931.0,2175545480.0,2175545480.0,3e-10,0.0
b'fr-svc-deployment',0.0,0.0,620412928.0,2480717824.0,0.9,1717936790000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b'fr-svc-deployment',0.0,7.5e-09,612823859.2,2480717824.0,0.9,1717936800000000000,7.53002e-05,5.716e-07,1718995669.0,1718995669.0,1718995669.0,1e-10,0.0
b'fr-svc-deployment',0.0,2.25e-08,592338534.4,2484074905.6,0.901,1717936810000000000,0.0002279464,1.2966e-06,2515677151.0,2625564977.0,2625564977.0,3e-10,0.0
b'fr-svc-deployment',0.0,0.0,584860467.2,2483235635.2,0.896,1717936820000000000,0.0002267868,9.852e-07,2242800524.0,2285075104.0,2285075104.0,2e-10,0.0
b'fr-svc-deployment',0.0,7.5e-09,578811084.8,2483235635.2,0.899,1717936830000000000,0.0002346566,1.2718e-06,2101308572.0,2101308572.0,2101308572.0,1e-10,0.0
