container_x,total_disk_read_throughput,total_disk_write_throughput,rss,vsize,cpu_usage,time_,rx_bytes_per_ns,tx_bytes_per_ns,latency_p50,latency_p90,latency_p99,request_throughput,errors_per_ns
b'fr-svc-deployment',0.0,2.25e-08,593113088.0,1911971840.0,0.041,1717742300000000000,0.000376004,2.2316e-06,458134105.0,494559033.0,494559033.0,0.0,0.0
b'fr-svc-deployment',0.0,0.0,589246464.0,1911971840.0,0.0,1717742310000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b'fr-svc-deployment',0.0,6.75e-08,612370841.6,1917531750.4,0.218,1717742320000000000,0.000677446,3.96e-06,1023230700.0,1119106262.0,1119250545.0,9e-10,0.0
b'fr-svc-deployment',0.0,4.5e-08,617524428.8,1914017382.4,0.149,1717742330000000000,0.0004516446,2.5812e-06,690737088.0,787565776.0,790408106.0,6e-10,0.0
b'fr-svc-deployment',0.0,2.25e-08,615440384.0,1912233984.0,0.078,1717742340000000000,0.0002328364,1.3892e-06,242288072.0,272276108.0,272276108.0,4e-10,0.0
b'fr-svc-deployment',0.0,3e-08,610720972.8,1912129126.4,0.096,1717742350000000000,0.000301504,1.7974e-06,424229024.0,441104683.0,441104683.0,4e-10,0.0
b'fr-svc-deployment',0.0,7.5e-08,618874060.8,1918895718.4,0.248,1717742360000000000,0.0007522782,4.393e-06,741275965.0,1001647068.0,1001902012.0,1e-09,0.0
b'fr-svc-deployment',0.0,0.0,619212800.0,1912496128.0,0.0,1717742370000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b'fr-svc-deployment',0.0,3e-08,611910451.2,1912024268.8,0.105,1717742380000000000,0.0003007134,1.8424e-06,237845877.0,268904741.0,268904741.0,4e-10,0.0
b'fr-svc-deployment',0.0,0.0,606273536.0,1911709696.0,0.0,1717742390000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b'fr-svc-deployment',0.0,3e-08,606051532.8,1911709696.0,0.11,1717742400000000000,0.0003007344,1.6323e-06,509056510.0,564615122.0,564615122.0,4e-10,0.0
b'fr-svc-deployment',0.0,0.0,599785472.0,1911709696.0,0.0,1717742410000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b'fr-svc-deployment',0.0,7.5e-08,605976985.6,1917453516.8,0.262,1717742420000000000,0.0007528134,4.489e-06,643581332.0,702281893.0,711044854.0,1e-09,0.0
b'fr-svc-deployment',0.0,4.5e-08,600380211.2,1913126092.8,0.15,1717742430000000000,0.0004510718,2.6394e-06,721850958.0,771731309.0,776292702.0,6e-10,0.0
b'fr-svc-deployment',0.0,1.5e-08,595589120.0,1911447552.0,0.052,1717742440000000000,0.0002264426,1.3324e-06,225318874.0,258145418.0,258145418.0,3e-10,0.0
b'fr-svc-deployment',0.0,3e-08,588883558.4,1911447552.0,0.101,1717742450000000000,0.00030073,1.759e-06,419711502.0,480946960.0,481405414.0,6e-10,0.0
b'fr-svc-deployment',0.0,6e-08,599049011.2,1920102400.0,0.219,1717742460000000000,0.0006770446,4.1158e-06,920370205.0,1088107953.0,1097053228.0,9e-10,0.0
b'fr-svc-deployment',0.0,0.0,583884800.0,1911709696.0,0.001,1717742470000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b'fr-svc-deployment',0.0,3.75e-08,595244236.8,1911578624.0,0.114,1717742480000000000,0.000375966,2.3624e-06,200453637.0,256773405.0,256773405.0,5e-10,0.0
b'fr-svc-deployment',0.0,0.0,602820608.0,1911447552.0,0.0,1717742490000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
