container_x,total_disk_read_throughput,total_disk_write_throughput,rss,vsize,cpu_usage,time_,rx_bytes_per_ns,tx_bytes_per_ns,latency_p50,latency_p90,latency_p99,request_throughput,errors_per_ns
b'fr-svc-deployment',0.0,0.0,585617408.0,1892069376.0,0.0,1718327180000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b'fr-svc-deployment',0.0,3.75e-08,564681523.2,1891754803.2,0.123,1718327190000000000,0.0003758934,2.4218e-06,209356928.0,267869436.0,267869436.0,5e-10,0.0
b'fr-svc-deployment',0.0,0.0,552833024.0,1891545088.0,0.001,1718327200000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b'fr-svc-deployment',0.0,7.5e-08,570534707.2,1898704896.0,0.261,1718327210000000000,0.0007518112,4.4674e-06,721700047.0,803486879.0,812602377.0,1e-09,0.0
b'fr-svc-deployment',0.0,3e-08,572309913.6,1891990732.8,0.104,1718327220000000000,0.0003012862,1.7182e-06,483721085.0,509503341.0,509503341.0,4e-10,0.0
b'fr-svc-deployment',0.0,0.0,561782784.0,1891807232.0,0.0,1718327230000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b'fr-svc-deployment',0.0,3.75e-08,566111436.8,1891440230.4,0.123,1718327240000000000,0.0003758208,2.4086e-06,214067050.0,274491039.0,274491039.0,5e-10,0.0
b'fr-svc-deployment',0.0,0.0,566554624.0,1891282944.0,0.0,1718327250000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b'fr-svc-deployment',0.0,6e-08,579194470.4,1898390323.2,0.214,1718327260000000000,0.000601948,3.4538e-06,965885547.0,1070938086.0,1092530666.0,8e-10,0.0
b'fr-svc-deployment',0.0,4.5e-08,569867059.2,1892987699.2,0.153,1718327270000000000,0.0004514852,2.4282e-06,698876078.0,859213287.0,874660519.0,6e-10,0.0
b'fr-svc-deployment',0.0,4.5e-08,571271987.2,1891282944.0,0.155,1718327280000000000,0.0004522254,2.865e-06,472785408.0,542337204.0,545248152.0,6e-10,0.0
b'fr-svc-deployment',0.0,7.5e-09,582314393.6,2467082240.0,0.401,1718327290000000000,7.52638e-05,4.882e-07,1586250217.0,1586250217.0,1586250217.0,1e-10,0.0
b'fr-svc-deployment',0.0,0.0,584286208.0,2467082240.0,0.898,1718327300000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b'fr-svc-deployment',0.0,0.0,584998912.0,2467082240.0,0.898,1718327310000000000,0.0001520082,7.126e-07,0.0,0.0,0.0,0.0,0.0
b'fr-svc-deployment',0.0,3.75e-08,594045747.2,2478097203.2,0.899,1718327320000000000,1.362e-07,1.912e-07,2202857625.0,2813322458.0,2813322458.0,5e-10,0.0
b'fr-svc-deployment',0.0,1.5e-08,589989068.8,2467423027.2,0.901,1718327330000000000,0.0001519806,9.128e-07,1849269877.0,1905559644.0,1905559644.0,2e-10,0.0
b'fr-svc-deployment',0.0,7.5e-09,583544012.8,2467265740.8,0.898,1718327340000000000,7.51668e-05,3.484e-07,1473580424.0,1473580424.0,1473580424.0,1e-10,0.0
b'fr-svc-deployment',0.0,0.0,577380352.0,2467082240.0,0.9,1718327350000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b'fr-svc-deployment',0.0,7.5e-09,584530329.6,2472380006.4,0.9,1718327360000000000,0.000378814,2.1684e-06,1825678868.0,1825678868.0,1825678868.0,1e-10,0.0
b'fr-svc-deployment',0.0,2.25e-08,571839692.8,2472851865.6,0.901,1718327370000000000,8.34e-08,1.296e-07,2005772627.0,2101611533.0,2101611533.0,4e-10,0.0
b'fr-svc-deployment',0.0,1.5e-08,571978137.6,2467606528.0,0.9,1718327380000000000,5.28e-08,7.48e-08,2100566049.0,2101093653.0,2101093653.0,2e-10,0.0
b'fr-svc-deployment',0.0,7.5e-09,564713472.0,2467606528.0,0.899,1718327390000000000,7.57902e-05,5.104e-07,1616062553.0,1616062553.0,1616062553.0,1e-10,0.0
b'fr-svc-deployment',0.0,0.0,561868800.0,2467606528.0,0.901,1718327400000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b'fr-svc-deployment',0.0,2.25e-08,576766361.6,2478097203.2,0.9,1718327410000000000,0.000379794,2.2852e-06,2110907719.0,2283342557.0,2283342557.0,3e-10,0.0
b'fr-svc-deployment',0.0,2.25e-08,576804864.0,2471487897.6,0.898,1718327420000000000,0.0002271546,1.3865e-06,2186930054.0,2536354621.0,2536354621.0,5e-10,0.0
b'fr-svc-deployment',0.0,1.5e-08,579085926.4,2468130816.0,0.902,1718327430000000000,0.0001520418,7.423e-07,1570442729.0,1624187952.0,1624187952.0,2e-10,0.0
