container_x,total_disk_read_throughput,total_disk_write_throughput,rss,vsize,cpu_usage,time_,rx_bytes_per_ns,tx_bytes_per_ns,latency_p50,latency_p90,latency_p99,request_throughput,errors_per_ns
b'fr-svc-deployment',0.0,0.0,544010240.0,1623867392.0,0.0,1717741140000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b'fr-svc-deployment',0.0,0.0,544010240.0,1623867392.0,0.0,1717741150000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b'fr-svc-deployment',0.0,0.0,544010240.0,1623867392.0,0.0,1717741160000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b'fr-svc-deployment',0.0,3e-08,536263065.6,1623867392.0,0.101,1717741170000000000,0.0003005934,1.8147e-06,469016184.0,475880147.0,475880147.0,4e-10,0.0
b'fr-svc-deployment',0.0,7.5e-08,542597939.2,1632627097.6,0.246,1717741180000000000,0.000754588,4.4758e-06,767750959.0,1009268993.0,1033298833.0,1e-09,0.0
b'fr-svc-deployment',0.0,0.0,530501632.0,1624391680.0,0.0,1717741190000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b'fr-svc-deployment',0.0,3.75e-08,513939865.6,1623998464.0,0.124,1717741200000000000,0.0003759462,2.468e-06,220588979.0,275322366.0,275322366.0,5e-10,0.0
b'fr-svc-deployment',0.0,0.0,502145024.0,1623867392.0,0.0,1717741210000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b'fr-svc-deployment',0.0,1.125e-07,574334566.4,1796267622.4,0.373,1717741220000000000,0.0011270004,5.7076e-06,2079602469.0,2208521696.0,2211656852.0,1.5e-09,0.0
b'fr-svc-deployment',0.0,0.0,575594496.0,1893089280.0,0.0,1717741230000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b'fr-svc-deployment',0.0,6.75e-08,612292608.0,1901062553.6,0.203,1717741240000000000,0.000526341,2.7812e-06,1087589673.0,1137077328.0,1150244135.0,9e-10,0.0
b'fr-svc-deployment',0.0,4.5e-08,604754739.2,1895659929.6,0.153,1717741250000000000,0.000450846,2.8527e-06,693718698.0,782531122.0,782574053.0,6e-10,0.0
b'fr-svc-deployment',0.0,0.0,591216640.0,1892302848.0,0.0,1717741260000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b'fr-svc-deployment',0.0,3.75e-08,591226470.4,1892302848.0,0.122,1717741270000000000,0.000375924,2.2214e-06,217711186.0,229094730.0,229094730.0,5e-10,0.0
b'fr-svc-deployment',0.0,0.0,580837376.0,1892302848.0,0.0,1717741280000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b'fr-svc-deployment',0.0,2.625e-07,590480588.8,1892302848.0,0.897,1717741290000000000,0.002631102,1.65104e-05,252616197.0,275077073.0,315785892.0,3.6e-09,0.0
b'fr-svc-deployment',0.0,2.7e-07,612736614.4,1898964582.4,0.894,1717741300000000000,0.0027063142,1.66443e-05,467264192.0,504204576.0,529096814.0,4e-09,0.0
b'fr-svc-deployment',0.0,2.7e-07,619387289.6,1917218816.0,0.897,1717741310000000000,0.0027076166,1.59564e-05,701080470.0,789913826.0,912759171.0,4e-09,0.0
b'fr-svc-deployment',0.0,2.775e-07,613976883.2,1933715456.0,0.897,1717741320000000000,0.0027866924,1.7057e-05,913118406.0,1037604027.0,1103373210.0,3.9e-09,0.0
b'fr-svc-deployment',0.0,2.55e-07,648975974.4,1951785369.6,0.898,1717741330000000000,0.0025627662,1.56213e-05,1210809995.0,1379761284.0,1455964876.0,4e-09,0.0
b'fr-svc-deployment',0.0,2.7e-07,657253990.4,1967101542.4,0.898,1717741340000000000,0.0027121676,1.53761e-05,1408957356.0,1584503976.0,1683848553.0,3.9e-09,0.0
b'fr-svc-deployment',0.0,2.625e-07,669202432.0,1986902425.6,0.898,1717741350000000000,0.0026349892,1.53463e-05,1691799359.0,1818932745.0,1957752001.0,3.7e-09,0.0
b'fr-svc-deployment',0.0,2.625e-07,661745254.4,1983519129.6,0.897,1717741360000000000,0.0025059188,1.32848e-05,1759016192.0,2011186026.0,2300790313.0,3.9e-09,0.0
