container_x,total_disk_read_throughput,total_disk_write_throughput,rss,vsize,cpu_usage,time_,rx_bytes_per_ns,tx_bytes_per_ns,latency_p50,latency_p90,latency_p99,request_throughput,errors_per_ns
b'preprocess-svc-deployment',0.0112323203,0.0112333415,525180108.8,2105008947.2,0.65,1717661900000000000,0.0115773256,3.92666e-05,250383164.0,442464174.0,692473114.0,1.43e-08,0.0
b'preprocess-svc-deployment',0.0141723236,0.0142392342,526354022.4,2119276544.0,0.849,1717661910000000000,0.014682119,5.08932e-05,279722033.0,414663779.0,765978614.0,2.13e-08,0.0
b'preprocess-svc-deployment',0.0137200154,0.0138851586,527160115.2,2130187059.2,0.817,1717661920000000000,0.0141362527,5.42048e-05,265511671.0,463168345.0,606494713.0,2e-08,0.0
b'preprocess-svc-deployment',0.0139461695,0.0138721242,527942041.6,2130187059.2,0.82,1717661930000000000,0.0140284493,5.47949e-05,250186180.0,437641906.0,607876253.0,2.06e-08,0.0
b'preprocess-svc-deployment',0.0139461695,0.0138164222,528609689.6,2137740492.8,0.855,1717661940000000000,0.0139531284,5.0936e-05,290895549.0,465470330.0,551103453.0,2e-08,0.0
b'preprocess-svc-deployment',0.0139461695,0.0140064744,529069670.4,2128508518.4,0.875,1717661950000000000,0.0143609391,5.27417e-05,271699088.0,411783184.0,537291521.0,2.01e-08,0.0
b'preprocess-svc-deployment',0.0141723236,0.0142457875,529432985.6,2124312166.4,0.879,1717661960000000000,0.0148438175,5.32942e-05,252189011.0,456252476.0,591497033.0,2.05e-08,0.0
b'preprocess-svc-deployment',0.0146246318,0.0146260082,529886822.4,2124312166.4,0.881,1717661970000000000,0.0147878589,5.18963e-05,274037733.0,435717980.0,516289180.0,2.06e-08,0.0
b'preprocess-svc-deployment',0.0143984777,0.0142753882,530259968.0,2125151436.8,0.836,1717661980000000000,0.0145328367,5.0892e-05,280472930.0,419953118.0,495703796.0,2.17e-08,0.0
b'preprocess-svc-deployment',0.0147754012,0.0149112093,530586009.6,2123472896.0,0.875,1717661990000000000,0.0151918649,5.17838e-05,242357216.0,376441347.0,498808662.0,2.21e-08,0.0
b'preprocess-svc-deployment',0.01507694,0.0151538269,531051724.8,2120955084.8,0.882,1717662000000000000,0.0153534485,5.79057e-05,217182014.0,310957523.0,429075524.0,2.22e-08,0.0
