container_x,total_disk_read_throughput,total_disk_write_throughput,rss,vsize,cpu_usage,time_,rx_bytes_per_ns,tx_bytes_per_ns,latency_p50,latency_p90,latency_p99,request_throughput,errors_per_ns
b'preprocess-svc-deployment',0.013569246,0.0136230267,601537331.2,1851651276.8,0.887,1717919690000000000,0.0139347554,5.44713e-05,383472183.0,650655759.0,697078416.0,1.26e-08,0.0
b'preprocess-svc-deployment',0.0136446307,0.0136459553,598746726.4,1840740761.6,0.872,1717919700000000000,0.0139368461,5.0019e-05,357182695.0,574129492.0,681905395.0,1.99e-08,0.0
b'preprocess-svc-deployment',0.0140215542,0.0140229158,598743449.6,1844937113.6,0.899,1717919710000000000,0.0141590751,5.30004e-05,365950811.0,596681609.0,676201680.0,1.99e-08,0.0
b'preprocess-svc-deployment',0.0137954001,0.0137377444,600181145.6,1843258572.8,0.898,1717919720000000000,0.0140138144,5.09911e-05,367788889.0,578982458.0,672849200.0,2e-08,0.0
b'preprocess-svc-deployment',0.0133430919,0.0133444683,588411289.6,1836544409.6,0.899,1717919730000000000,0.0136186448,4.78447e-05,358206212.0,532460746.0,634616892.0,2.02e-08,0.0
b'preprocess-svc-deployment',0.014323093,0.014324425,597281177.6,1849133465.6,0.899,1717919740000000000,0.0143103879,5.13494e-05,385048115.0,645614937.0,763668757.0,2.01e-08,0.0
b'preprocess-svc-deployment',0.0136446307,0.0136165459,594883379.2,1847454924.8,0.898,1717919750000000000,0.0138649725,4.9982e-05,330875524.0,602503723.0,703435465.0,2.09e-08,0.0
b'preprocess-svc-deployment',0.013569246,0.0133575827,593691443.2,1834865868.8,0.895,1717919760000000000,0.0136627271,4.84391e-05,349307332.0,495756712.0,683459189.0,1.95e-08,0.0
b'preprocess-svc-deployment',0.0131923225,0.0131936767,592019456.0,1844097843.2,0.895,1717919770000000000,0.0134743035,5.11363e-05,355549466.0,562414892.0,704136927.0,1.98e-08,0.0
b'preprocess-svc-deployment',0.0142477083,0.0142490329,589094912.0,1841580032.0,0.9,1717919780000000000,0.014251934,5.4324e-05,422062275.0,642737611.0,710228200.0,2.1e-08,0.0
b'preprocess-svc-deployment',0.0132677072,0.0131936989,591597977.6,1849133465.6,0.898,1717919790000000000,0.013692856,4.94339e-05,382826747.0,646185609.0,772925955.0,1.95e-08,0.0
b'preprocess-svc-deployment',0.0137200154,0.0136459701,601203916.8,1839062220.8,0.891,1717919800000000000,0.013866688,4.85915e-05,357336905.0,631811790.0,706443408.0,1.98e-08,0.0
b'preprocess-svc-deployment',0.0137200154,0.0137213104,596733132.8,1841580032.0,0.89,1717919810000000000,0.0137831332,4.84969e-05,341825044.0,573151498.0,680849692.0,2.03e-08,0.0
b'preprocess-svc-deployment',0.0116092438,0.011610413,595143475.2,1837383680.0,0.785,1717919820000000000,0.0119629913,4.4157e-05,355654585.0,644950369.0,1220895785.0,1.71e-08,0.0
