container_x,total_disk_read_throughput,total_disk_write_throughput,rss,vsize,cpu_usage,time_,rx_bytes_per_ns,tx_bytes_per_ns,latency_p50,latency_p90,latency_p99,request_throughput,errors_per_ns
b'preprocess-svc-deployment',0.003769235,0.0037695902,756056064.0,1836527616.0,0.2,1717567230000000000,0.008728179,4.71164e-05,292518002.0,567752781.0,812315304.0,0.0,0.0
b'preprocess-svc-deployment',0.0140215542,0.0140230194,739314483.2,1879889920.0,0.838,1717567240000000000,0.0143635991,7.64568e-05,436202687.0,755817863.0,840954194.0,1.98e-08,0.0
b'preprocess-svc-deployment',0.0154538635,0.0154553435,756055654.4,1865622323.2,0.888,1717567250000000000,0.0156024287,8.26096e-05,338694127.0,730385874.0,840484208.0,2.22e-08,0.0
b'preprocess-svc-deployment',0.0149261706,0.0149800922,751925657.6,1877372108.8,0.891,1717567260000000000,0.0155433583,8.67238e-05,414295311.0,747832732.0,842467977.0,2.17e-08,0.0
b'preprocess-svc-deployment',0.0156800176,0.0156093878,735189401.6,1854711808.0,0.899,1717567270000000000,0.0157070775,8.2695e-05,314359609.0,757306830.0,855630102.0,2.37e-08,0.0
b'preprocess-svc-deployment',0.0159061717,0.0157798255,748714803.2,1845479833.6,0.884,1717567280000000000,0.0158997454,8.37438e-05,321823590.0,596126685.0,774094888.0,2.31e-08,0.0
b'preprocess-svc-deployment',0.0150015553,0.0147737484,758378086.4,1863943782.4,0.864,1717567290000000000,0.0147997009,8.09604e-05,393432114.0,767753881.0,820173661.0,2.16e-08,0.0
b'preprocess-svc-deployment',0.0157554023,0.0158978341,748146278.4,1852193996.8,0.89,1717567300000000000,0.0159865382,8.40614e-05,315939296.0,626937919.0,800896026.0,2.3e-08,0.0
b'preprocess-svc-deployment',0.0155292482,0.0155307726,737550336.0,1861425971.2,0.888,1717567310000000000,0.0157597203,8.53912e-05,348609034.0,724702800.0,944210736.0,2.28e-08,0.0
b'preprocess-svc-deployment',0.0149261706,0.0149800182,752802611.2,1862265241.6,0.853,1717567320000000000,0.0151668356,8.18307e-05,343450637.0,702590019.0,797971945.0,2.18e-08,0.0
b'preprocess-svc-deployment',0.0151523247,0.0146296217,745912729.6,1873175756.8,0.857,1717567330000000000,0.0146189209,7.81733e-05,386107408.0,722194746.0,826128108.0,2.2e-08,0.0
b'preprocess-svc-deployment',0.0151523247,0.0151538935,750524825.6,1850515456.0,0.887,1717567340000000000,0.0155210411,8.50613e-05,297925937.0,732507700.0,807866289.0,2.22e-08,0.0
b'preprocess-svc-deployment',0.0156800176,0.0156815346,748414976.0,1873175756.8,0.888,1717567350000000000,0.0159114395,8.43783e-05,338630086.0,753414712.0,833307722.0,2.36e-08,0.0
b'preprocess-svc-deployment',0.01507694,0.0150916415,749780992.0,1866461593.6,0.888,1717567360000000000,0.015570869,8.14244e-05,376749304.0,789524904.0,851550818.0,2.27e-08,0.0
b'preprocess-svc-deployment',0.0159061717,0.0159076295,736849920.0,1852193996.8,0.887,1717567370000000000,0.0158983508,8.60919e-05,274608493.0,708404286.0,851687897.0,2.2e-08,0.0
b'preprocess-svc-deployment',0.0151523247,0.0154060934,739212083.2,1852193996.8,0.871,1717567380000000000,0.0161116471,8.53005e-05,317390719.0,675436646.0,820262679.0,2.14e-08,0.0
b'preprocess-svc-deployment',0.0150015553,0.0150030427,748502220.8,1859747430.4,0.873,1717567390000000000,0.0152249866,8.49321e-05,305061348.0,777996496.0,869759428.0,2.34e-08,0.0
b'preprocess-svc-deployment',0.0153030941,0.0153569346,732620800.0,1858908160.0,0.873,1717567400000000000,0.0155609285,8.46688e-05,326043133.0,728724486.0,825043565.0,2.2e-08,0.0
b'preprocess-svc-deployment',0.0156800176,0.0157339909,742554419.2,1862265241.6,0.9,1717567410000000000,0.0160950532,8.65983e-05,282070051.0,632896787.0,966994398.0,2.35e-08,0.0
b'preprocess-svc-deployment',0.0155292482,0.0153799549,734065459.2,1856390348.8,0.891,1717567420000000000,0.0155128988,8.23448e-05,325300210.0,713194303.0,843252588.0,2.28e-08,0.0
b'preprocess-svc-deployment',0.0055030831,0.0054446282,738206105.6,2400297369.6,0.65,1717567430000000000,0.0053924679,2.74301e-05,678657671.0,939892498.0,1172112880.0,8.3e-09,0.0
b'preprocess-svc-deployment',0.0051261596,0.0051855992,744736768.0,2394422476.8,0.898,1717567440000000000,0.0052542827,2.73282e-05,732018261.0,1104861875.0,1309151568.0,7.1e-09,0.0
b'preprocess-svc-deployment',0.0041461585,0.0042055016,740469145.6,2401975910.4,0.9,1717567450000000000,0.0042663101,2.06526e-05,1019011969.0,1541116192.0,2068129278.0,6.4e-09,0.0
b'preprocess-svc-deployment',0.0052015443,0.0052020697,738573516.8,2418761318.4,0.899,1717567460000000000,0.0053292969,2.75331e-05,1293069370.0,1694120263.0,1847662251.0,7.5e-09,0.0
b'preprocess-svc-deployment',0.0048246208,0.0047661068,742873497.6,2396101017.6,0.9,1717567470000000000,0.0047443419,2.49258e-05,884165147.0,1373815421.0,1663633630.0,7.6e-09,0.0
b'preprocess-svc-deployment',0.0058046219,0.0058051917,735531417.6,2399458099.2,0.897,1717567480000000000,0.0058076339,3.1299e-05,720298923.0,1012369541.0,1271785258.0,8e-09,0.0
b'preprocess-svc-deployment',0.0049000055,0.0049004569,731735654.4,2407850803.2,0.899,1717567490000000000,0.0048739545,2.62161e-05,1088818725.0,1588339602.0,1682562456.0,7.5e-09,0.0
b'preprocess-svc-deployment',0.0055030831,0.0055691312,738042265.6,2401975910.4,0.903,1717567500000000000,0.0057848982,3.11051e-05,882081804.0,1315699982.0,1756295198.0,7.5e-09,0.0
b'preprocess-svc-deployment',0.0054276984,0.0054282756,733772185.6,2401136640.0,0.901,1717567510000000000,0.0055731931,2.92905e-05,896383552.0,1265546450.0,1741393330.0,8.4e-09,0.0
b'preprocess-svc-deployment',0.0044476973,0.0045202144,735449088.0,2426314752.0,0.903,1717567520000000000,0.0047737037,2.52769e-05,935509242.0,2448204942.0,2775628517.0,6.8e-09,0.0
b'preprocess-svc-deployment',0.005276929,0.0052020327,741580800.0,2393583206.4,0.907,1717567530000000000,0.0051477976,2.55537e-05,764188969.0,1216880523.0,1555775965.0,7.9e-09,0.0
b'preprocess-svc-deployment',0.0049753902,0.0049758786,748265062.4,2393583206.4,0.903,1717567540000000000,0.005140445,2.85483e-05,797027205.0,1184733955.0,1282169831.0,6.8e-09,0.0
b'preprocess-svc-deployment',0.0046738514,0.0045989625,752278323.2,2397779558.4,0.899,1717567550000000000,0.0047431233,2.6004e-05,760836588.0,1340919495.0,1776705065.0,7.4e-09,0.0
b'preprocess-svc-deployment',0.0064830842,0.006483654,748467814.4,2404493721.6,0.9,1717567560000000000,0.0065825197,3.38001e-05,671781248.0,1018452379.0,1255544411.0,8.2e-09,0.0
b'preprocess-svc-deployment',0.0046738514,0.0045989773,738300723.2,2417922048.0,0.9,1717567570000000000,0.0047534796,2.52603e-05,1302656339.0,1917439212.0,3015266689.0,7.2e-09,0.0
b'preprocess-svc-deployment',0.0051261596,0.0051987286,748219596.8,2393583206.4,0.9,1717567580000000000,0.0053490909,2.85789e-05,931396856.0,1296892850.0,1481260004.0,7.9e-09,0.0
b'preprocess-svc-deployment',0.0046738514,0.0046808675,749144883.2,2391904665.6,0.9,1717567590000000000,0.0048886437,2.62043e-05,694961235.0,976360443.0,1209671112.0,7.2e-09,0.0
