container_x,total_disk_read_throughput,total_disk_write_throughput,rss,vsize,cpu_usage,time_,rx_bytes_per_ns,tx_bytes_per_ns,latency_p50,latency_p90,latency_p99,request_throughput,errors_per_ns
b'preprocess-svc-deployment',0.0134184766,0.0134951933,585330278.4,2018655436.8,0.896,1717659660000000000,0.0137909531,4.91459e-05,387274948.0,682346395.0,843861906.0,1.84e-08,0.0
b'preprocess-svc-deployment',0.0145492471,0.0144982558,588467404.8,2009423462.4,0.898,1717659670000000000,0.0147385952,5.2437e-05,324207020.0,518134679.0,731050170.0,2.11e-08,0.0
b'preprocess-svc-deployment',0.0148507859,0.0149046108,589962854.4,2003548569.6,0.899,1717659680000000000,0.0151207984,5.23037e-05,310108195.0,471174952.0,575297412.0,2.13e-08,0.0
b'preprocess-svc-deployment',0.0149261706,0.0149276062,591854387.2,2011102003.2,0.9,1717659690000000000,0.0151731121,5.42092e-05,337270016.0,576368569.0,807876920.0,2.19e-08,0.0
b'preprocess-svc-deployment',0.0140969389,0.0141507121,591550873.6,2022012518.4,0.889,1717659700000000000,0.0145109498,5.11873e-05,361611423.0,683966251.0,816915877.0,2.1e-08,0.0
b'preprocess-svc-deployment',0.0147754012,0.0147768516,590137753.6,2021173248.0,0.889,1717659710000000000,0.0150216942,5.62248e-05,379008041.0,673213240.0,794258695.0,2.12e-08,0.0
b'preprocess-svc-deployment',0.0144738624,0.0144818262,592666624.0,1995995136.0,0.899,1717659720000000000,0.0148381107,5.20047e-05,297732162.0,477943309.0,573082339.0,2.17e-08,0.0
b'preprocess-svc-deployment',0.0144738624,0.0144752906,592785817.6,2006066380.8,0.895,1717659730000000000,0.014811092,5.27051e-05,302329179.0,497199214.0,663213380.0,2.14e-08,0.0
b'preprocess-svc-deployment',0.0137954001,0.013849196,592651878.4,1993477324.8,0.9,1717659740000000000,0.014299765,4.90351e-05,281044508.0,418338825.0,582025574.0,2.07e-08,0.0
b'preprocess-svc-deployment',0.0145492471,0.0146161949,595402342.4,2001030758.4,0.899,1717659750000000000,0.0148722586,5.29179e-05,339145325.0,481913870.0,657008372.0,2.09e-08,0.0
b'preprocess-svc-deployment',0.0142477083,0.0142491069,594811699.2,2010262732.8,0.9,1717659760000000000,0.0145393109,5.12721e-05,305009350.0,656104322.0,768500714.0,2.14e-08,0.0
b'preprocess-svc-deployment',0.0147754012,0.0146458062,598416998.4,2020333977.6,0.895,1717659770000000000,0.0148616504,5.33852e-05,352236348.0,580478471.0,729858502.0,2.13e-08,0.0
b'preprocess-svc-deployment',0.0146246318,0.014573663,593940480.0,2015298355.2,0.884,1717659780000000000,0.0148319319,5.43743e-05,361905142.0,696794139.0,766107262.0,2.11e-08,0.0
b'preprocess-svc-deployment',0.0145492471,0.0144065568,592191488.0,2011758182.4,0.9,1717659790000000000,0.0146047736,5.21136e-05,313790294.0,592411641.0,799422472.0,2.15e-08,0.0
b'preprocess-svc-deployment',0.0140215542,0.0140753571,591966208.0,2009556992.0,0.877,1717659800000000000,0.0142150431,5.30279e-05,329134101.0,670922430.0,771436364.0,2.12e-08,0.0
b'preprocess-svc-deployment',0.0137954001,0.0138491667,585501491.2,2011235532.8,0.877,1717659810000000000,0.0141296484,5.26273e-05,335233308.0,540187214.0,815735798.0,2.03e-08,0.0
