container_x,total_disk_read_throughput,total_disk_write_throughput,rss,vsize,cpu_usage,time_,rx_bytes_per_ns,tx_bytes_per_ns,latency_p50,latency_p90,latency_p99,request_throughput,errors_per_ns
b'preprocess-svc-deployment',0.0106292427,0.0105582059,468484096.0,1768867547.4285717,0.6,1718344330000000000,0.0160511976,7.8783e-05,318474382.0,590124151.0,759832767.0,8.5e-09,0.0
b'preprocess-svc-deployment',0.0155292482,0.015448847,452972953.6,1775701606.4,0.898,1718344340000000000,0.0151786163,7.17514e-05,304587099.0,550086898.0,726875363.0,2.27e-08,0.0
b'preprocess-svc-deployment',0.01507694,0.0150063468,466002739.2,1774023065.6,0.899,1718344350000000000,0.0153867672,7.27812e-05,298904226.0,490771191.0,637478365.0,2.25e-08,0.0
b'preprocess-svc-deployment',0.0156046329,0.0155373597,454581452.8,1786612121.6,0.9,1718344360000000000,0.0159543511,7.94189e-05,309195067.0,642895499.0,722827239.0,2.31e-08,0.0
b'preprocess-svc-deployment',0.0152277094,0.0150063698,463496806.4,1789969203.2,0.89,1718344370000000000,0.0151130295,7.88535e-05,324581642.0,641346321.0,727274075.0,2.22e-08,0.0
b'preprocess-svc-deployment',0.0154538635,0.0154553213,450805760.0,1778219417.6,0.886,1718344380000000000,0.0154447788,7.70955e-05,305343349.0,592598214.0,708965508.0,2.21e-08,0.0
b'preprocess-svc-deployment',0.0151523247,0.0153110679,456880537.6,1773183795.2,0.897,1718344390000000000,0.0154738781,7.96159e-05,365679050.0,636231464.0,718535607.0,2.31e-08,0.0
b'preprocess-svc-deployment',0.0153030941,0.015199824,472054169.6,1794165555.2,0.9,1718344400000000000,0.0155042531,8.2248e-05,320504893.0,615834746.0,718649096.0,2.22e-08,0.0
b'preprocess-svc-deployment',0.015830787,0.0159797616,469133721.6,1785772851.2,0.902,1718344410000000000,0.0160652969,8.54916e-05,281070135.0,650287928.0,724248308.0,2.31e-08,0.0
b'preprocess-svc-deployment',0.0147754012,0.0148293445,469358182.4,1801718988.8,0.874,1718344420000000000,0.0154160256,8.46327e-05,376800201.0,684424645.0,731177337.0,2.19e-08,0.0
b'preprocess-svc-deployment',0.0153784788,0.0153144435,473571737.6,1774862336.0,0.9,1718344430000000000,0.0152769604,7.82926e-05,301958468.0,581620798.0,710967004.0,2.24e-08,0.0
b'preprocess-svc-deployment',0.0151523247,0.0152062463,479284019.2,1766469632.0,0.899,1718344440000000000,0.0155657619,7.9327e-05,283642531.0,462346969.0,632915934.0,2.3e-08,0.0
b'preprocess-svc-deployment',0.01507694,0.0153339732,478867865.6,1788290662.4,0.896,1718344450000000000,0.0163657705,9.18146e-05,301837825.0,591720352.0,696121021.0,2.05e-08,0.0
b'preprocess-svc-deployment',0.0152277094,0.0152750857,467363840.0,1801836953.6,0.899,1718344460000000000,0.0154923635,9.50915e-05,384631570.0,817865352.0,1074082107.0,2.3e-08,0.0
