container_x,total_disk_read_throughput,total_disk_write_throughput,rss,vsize,cpu_usage,time_,rx_bytes_per_ns,tx_bytes_per_ns,latency_p50,latency_p90,latency_p99,request_throughput,errors_per_ns
b'preprocess-svc-deployment',0.0017338481,0.0018519566,592777216.0,1823717376.0,0.1,1717566010000000000,0.0089394938,4.68445e-05,331302341.0,685598761.0,811988222.0,0.0,0.0
b'preprocess-svc-deployment',0.0156800176,0.0156815346,593161830.4,1858966732.8,0.89,1717566020000000000,0.0157378652,8.50204e-05,316047634.0,692037571.0,799220434.0,2.07e-08,0.0
b'preprocess-svc-deployment',0.0144738624,0.014475409,596454604.8,1848056217.6,0.899,1717566030000000000,0.0152000254,7.84891e-05,309766887.0,738976751.0,883345754.0,2.29e-08,0.0
b'preprocess-svc-deployment',0.01507694,0.01507842,598325657.6,1844699136.0,0.9,1717566040000000000,0.0153217825,8.20425e-05,295911211.0,707197077.0,902629244.0,2.14e-08,0.0
b'preprocess-svc-deployment',0.0148507859,0.0149867194,584686387.2,1874073600.0,0.897,1717566050000000000,0.015561044,8.43011e-05,367236765.0,769579023.0,823633614.0,2.37e-08,0.0
b'preprocess-svc-deployment',0.0151523247,0.0152651825,586065920.0,1842181324.8,0.899,1717566060000000000,0.0156207673,8.3011e-05,341665614.0,644975082.0,810962246.0,2.21e-08,0.0
b'preprocess-svc-deployment',0.0145492471,0.0146326361,593121689.6,1853091840.0,0.877,1717566070000000000,0.0149602811,8.07168e-05,308182873.0,801983717.0,906436626.0,2.12e-08,0.0
b'preprocess-svc-deployment',0.0159815564,0.015910949,597954969.6,1861484544.0,0.889,1717566080000000000,0.015820371,8.35693e-05,361906512.0,722666383.0,841631338.0,2.26e-08,0.0
b'preprocess-svc-deployment',0.0147000165,0.0145048962,582411878.4,1887501926.4,0.881,1717566090000000000,0.0149783738,7.91076e-05,539774584.0,827020005.0,886756678.0,2.1e-08,0.0
b'preprocess-svc-deployment',0.0152277094,0.015229182,596204748.8,1864002355.2,0.867,1717566100000000000,0.0153951553,8.4424e-05,380868655.0,765690012.0,848774024.0,2.2e-08,0.0
b'preprocess-svc-deployment',0.01507694,0.0151373563,594114969.6,1846377676.8,0.899,1717566110000000000,0.0153715685,8.17811e-05,282003571.0,680752944.0,857769902.0,2.26e-08,0.0
b'preprocess-svc-deployment',0.0146246318,0.0147015705,581407539.2,1853931110.4,0.898,1717566120000000000,0.0156153829,9.0497e-05,361683299.0,763564299.0,858690686.0,2.27e-08,0.0
b'preprocess-svc-deployment',0.0152277094,0.015229219,583319142.4,1892095590.4,0.9,1717566130000000000,0.0154789209,8.74518e-05,333458231.0,1556893165.0,1778984008.0,2.14e-08,0.0
b'preprocess-svc-deployment',0.0131169378,0.0130464412,602284032.0,1989356339.2,0.899,1717566140000000000,0.0135999556,7.93023e-05,517633529.0,2283347218.0,2558310577.0,2.22e-08,0.0
b'preprocess-svc-deployment',0.0155292482,0.0155307874,590968832.0,1850259046.4,0.901,1717566150000000000,0.0157696963,8.99114e-05,310362121.0,596434833.0,737636081.0,2.38e-08,0.0
b'preprocess-svc-deployment',0.0159815564,0.0158583893,594108416.0,1881548800.0,0.9,1717566160000000000,0.0158073803,8.2825e-05,312836710.0,1519661670.0,1802560750.0,2.07e-08,0.0
b'preprocess-svc-deployment',0.0153784788,0.0153800475,590391705.6,1834312908.8,0.899,1717566170000000000,0.0156261078,8.3049e-05,311752257.0,471072750.0,607685242.0,2.2e-08,0.0
b'preprocess-svc-deployment',0.0161323258,0.0162780249,649582182.4,2256173056.0,0.899,1717566180000000000,0.0148466198,8.48899e-05,2897575430.0,3258594965.0,3416990347.0,2.16e-08,0.0
