container_x,total_disk_read_throughput,total_disk_write_throughput,rss,vsize,cpu_usage,time_,rx_bytes_per_ns,tx_bytes_per_ns,latency_p50,latency_p90,latency_p99,request_throughput,errors_per_ns
b'preprocess-svc-deployment',0.0091969334,0.0090798976,460541366.85714287,1757526308.5714283,0.601,1717845830000000000,0.0133504992,4.2806e-05,314494473.0,428986236.0,609723398.0,5.1e-09,0.0
b'preprocess-svc-deployment',0.0124384755,0.0125150738,461311180.8,1762674278.4,0.9,1717845840000000000,0.01266731,4.01717e-05,386392767.0,518886129.0,610245737.0,1.86e-08,0.0
b'preprocess-svc-deployment',0.0130415531,0.0131083528,461302169.6,1759317196.8,0.896,1717845850000000000,0.0133137359,3.99315e-05,326641254.0,557025279.0,613277772.0,1.89e-08,0.0
b'preprocess-svc-deployment',0.0116846285,0.0116857459,459329126.4,1768549171.2,0.897,1717845860000000000,0.0120318771,3.77182e-05,356983494.0,576331130.0,703709052.0,1.69e-08,0.0
b'preprocess-svc-deployment',0.0121369367,0.0120857237,458274816.0,1764352819.2,0.897,1717845870000000000,0.0124187291,3.74278e-05,374893320.0,569291932.0,693022500.0,1.85e-08,0.0
b'preprocess-svc-deployment',0.0119107826,0.0119840544,459476172.8,1760995737.6,0.899,1717845880000000000,0.0123431594,3.64789e-05,436962986.0,653465385.0,761454131.0,1.76e-08,0.0
b'preprocess-svc-deployment',0.0128907837,0.0128920639,460174950.4,1763513548.8,0.898,1717845890000000000,0.0131505267,3.83487e-05,326091658.0,467482526.0,632335718.0,1.94e-08,0.0
b'preprocess-svc-deployment',0.0121369367,0.0120725346,463222374.4,1764352819.2,0.898,1717845900000000000,0.0120641306,3.68853e-05,325481856.0,536383566.0,652136799.0,1.72e-08,0.0
b'preprocess-svc-deployment',0.0116092438,0.0116103834,461527040.0,1767709900.8,0.89,1717845910000000000,0.0119206523,3.92154e-05,376290602.0,649660537.0,787508409.0,1.76e-08,0.0
b'preprocess-svc-deployment',0.0116846285,0.0116857607,466674892.8,1770227712.0,0.846,1717845920000000000,0.0117431303,4.29465e-05,331683279.0,817274822.0,915759063.0,1.65e-08,0.0
b'preprocess-svc-deployment',0.0114584744,0.011459651,471065804.8,1761835008.0,0.899,1717845930000000000,0.011971747,3.67223e-05,439191764.0,556694643.0,694324333.0,1.73e-08,0.0
b'preprocess-svc-deployment',0.0116092438,0.0116694012,469175910.4,1763513548.8,0.898,1717845940000000000,0.0120605455,3.82579e-05,371839887.0,559870096.0,788286086.0,1.75e-08,0.0
b'preprocess-svc-deployment',0.0116092438,0.0116104278,470985113.6,1762674278.4,0.877,1717845950000000000,0.0121080199,3.89596e-05,402878077.0,534726043.0,631527289.0,1.77e-08,0.0
b'preprocess-svc-deployment',0.0122877061,0.0122888901,471248076.8,1763513548.8,0.899,1717845960000000000,0.012496917,4.14006e-05,334087036.0,508935946.0,578975998.0,1.82e-08,0.0
