fd_normal,fd_normal2,fd_normal3,fr_normal,fr_normal2,fr_normal3,preprocess_normal,preprocess_normal2,preprocess_normal3,preprocess_normal4
0.577,0.389,0.435,0.111,0.005,0.0,0.1,0.507,0.609,0.299
0.746,0.669,0.668,0.0,0.055,0.107,0.9,0.855,0.899,0.898
0.646,0.549,0.899,0.12,0.222,0.0,0.899,0.745,0.901,0.899
0.62,0.583,0.757,0.096,0.104,0.252,0.9,0.869,0.9,0.916
0.874,0.9,0.649,0.249,0.0,0.128,0.888,0.89,0.898,0.895
0.763,0.698,0.787,0.0,0.1,0.001,0.9,0.899,0.9,0.9
0.462,0.708,0.78,0.054,0.0,0.122,0.899,0.81,0.899,0.829
0.872,0.556,0.681,0.0,0.273,0.001,0.89,0.873,0.9,0.885
0.722,0.679,0.737,0.108,0.161,0.212,0.9,0.899,0.899,0.803
0.782,0.81,0.85,0.253,0.0,0.093,0.889,0.899,0.898,0.86
0.65,0.883,0.411,0.065,0.109,0.124,0.897,0.897,0.9,0.886
0.769,0.772,0.674,0.0,0.167,0.123,0.893,0.899,0.899,0.861
0.621,0.722,0.675,0.125,0.198,0.0,0.899,0.9,0.899,0.877
0.769,0.772,0.857,0.097,0.099,0.166,0.898,0.899,0.896,0.889
0.386,0.594,0.746,0.245,0.177,0.0,0.9,0.899,0.9,0.803
0.82,0.762,0.665,0.0,0.127,0.062,0.9,0.893,0.901,0.903
0.769,0.492,0.769,0.104,0.0,0.127,0.9,0.871,0.9,0.897
0.717,0.901,0.651,0.0,0.107,0.001,0.899,0.899,0.899,0.9
0.671,0.731,0.874,0.154,0.001,0.222,0.897,0.882,0.899,0.895
0.73,0.768,0.743,0.215,0.111,0.067,0.9,0.894,0.898,0.896
0.639,0.681,0.645,0.015,0.0,0.0,0.888,0.899,0.9,0.885
0.737,0.771,0.717,0.037,0.264,0.123,0.898,0.891,0.899,0.901
0.449,0.638,0.759,0.119,0.159,0.0,0.899,0.896,0.899,0.854
0.84,0.7,0.68,0.093,0.0,0.242,0.9,0.902,0.899,0.89
0.733,0.399,0.786,0.245,0.081,0.144,0.896,0.898,0.9,0.877
0.869,0.855,0.67,0.001,0.143,0.144,0.899,0.893,0.898,0.835
0.663,0.759,0.836,0.119,0.23,0.0,0.894,0.892,0.899,0.901
0.85,0.73,0.769,0.0,0.244,0.103,0.899,0.886,0.9,0.891
0.609,0.649,0.66,0.147,0.112,0.0,0.89,0.884,0.901,0.896
0.849,0.79,0.903,0.181,0.226,0.218,0.891,0.894,0.899,0.89
0.58,0.641,0.704,0.0,0.001,0.146,0.899,0.89,0.898,0.9
0.634,0.741,0.405,0.064,0.129,0.011,0.898,0.894,0.899,0.823
0.857,0.402,0.789,0.102,0.0,0.006,0.9,0.899,0.898,0.863
0.865,0.856,0.667,0.096,0.105,0.0,0.89,0.873,0.899,0.88
0.771,0.739,0.966,0.243,0.0,0.224,0.9,0.868,0.899,0.901
0.661,0.859,0.751,0.0,0.159,0.145,0.899,0.892,0.898,0.87
0.609,0.615,0.669,0.12,0.162,0.114,0.882,0.9,0.9,0.896
0.863,0.898,0.845,0.0,0.128,0.0,0.893,0.9,0.898,0.884
0.753,0.707,0.671,0.149,0.158,0.013,0.894,0.899,0.898,0.836
0.411,0.776,0.849,0.123,0.0,0.246,0.898,0.844,0.899,0.876
0.85,0.48,0.702,0.049,0.224,0.126,0.899,0.872,0.9,0.897
0.748,0.739,0.845,0.122,0.28,0.0,0.888,0.876,0.901,0.826
0.749,0.757,0.478,0.121,0.108,0.118,0.899,0.899,0.899,0.877
0.65,0.852,0.747,0.101,0.209,0.0,0.898,0.899,0.899,0.846
0.764,0.769,0.67,0.249,0.0,0.267,0.894,0.899,0.9,0.868
0.594,0.789,0.878,0.0,0.122,0.147,0.899,0.9,0.897,0.9
0.789,0.786,0.679,0.12,0.0,0.0,0.9,0.899,0.9,0.845
0.377,0.569,0.82,0.0,0.112,0.118,0.899,0.9,0.9,0.894
0.856,0.756,0.735,0.142,0.17,0.0,0.9,0.899,0.899,0.891
0.756,0.502,0.638,0.075,0.017,0.242,0.898,0.89,0.899,0.859
0.803,0.898,0.762,0.093,0.096,0.141,0.89,0.826,0.899,0.899
0.643,0.708,0.838,0.15,0.108,0.0,0.899,0.899,0.9,0.886
0.767,0.79,0.51,0.122,0.158,0.1,0.897,0.899,0.898,0.894
0.642,0.641,0.847,0.098,0.0,0.0,0.9,0.872,0.9,0.885
0.797,0.781,0.718,0.245,0.22,0.241,0.898,0.888,0.899,0.899
0.518,0.639,0.788,0.0,0.248,0.148,0.887,0.899,0.9,0.9
0.768,0.709,0.736,0.117,0.0,0.104,0.899,0.873,0.899,0.899
0.776,0.398,0.667,0.001,0.215,0.118,0.889,0.899,0.9,0.893
0.886,0.855,0.868,0.148,0.112,0.0,0.9,0.898,0.898,0.894
