fd_normal,fd_normal2,fd_normal3,fr_normal,fr_normal2,fr_normal3,preprocess_normal,preprocess_normal2,preprocess_normal3,preprocess_normal4
495457909.0,400121753.0,404192291.0,683494131.0,0.0,0.0,310034215.0,293997487.0,309635772.0,270688479.0
451479448.0,393443643.0,483982936.0,0.0,3548097851.0,264075927.0,262972877.0,322310602.0,359674497.0,319103496.0
310514557.0,479326110.0,385856731.0,221630031.0,1158548979.0,0.0,309652537.0,378884367.0,329867127.0,281810779.0
313784975.0,533591591.0,392689388.0,445559552.0,236880256.0,527317070.0,308299669.0,317667961.0,317933478.0,326992234.0
510206293.0,422649191.0,388777482.0,817254879.0,0.0,474089048.0,292583873.0,320196177.0,338772001.0,293652201.0
496107135.0,397817234.0,412249044.0,0.0,486074564.0,0.0,301407638.0,315008325.0,354606119.0,338703446.0
389999530.0,309350397.0,398416314.0,207542890.0,0.0,213762556.0,301707320.0,305541946.0,371797959.0,300617436.0
390374186.0,308338121.0,596618220.0,0.0,717661245.0,0.0,306403333.0,355338785.0,306831786.0,337101647.0
500037286.0,388676968.0,383275359.0,491051349.0,693532483.0,1043760886.0,285129702.0,320922735.0,346165101.0,345376136.0
510547072.0,332025825.0,397707024.0,546483526.0,0.0,644224804.0,307579877.0,283839525.0,353486430.0,298015516.0
393760447.0,492619503.0,492373015.0,747960777.0,252070862.0,445527148.0,317693292.0,334804098.0,307645221.0,298859769.0
396854636.0,583132844.0,394421752.0,697428713.0,750728148.0,204918090.0,319815709.0,314988434.0,316827320.0,319780745.0
596598456.0,422501516.0,491495316.0,215712613.0,405016643.0,0.0,330257582.0,303936315.0,346226205.0,362474350.0
482342337.0,401898689.0,400099106.0,439764992.0,280445038.0,892533728.0,309394324.0,258310429.0,361422160.0,310118573.0
486418069.0,387005189.0,383798709.0,763017034.0,623791439.0,0.0,265076224.0,257689196.0,383375941.0,354353125.0
391064802.0,293906797.0,396766756.0,0.0,911761396.0,449144742.0,329006720.0,295816161.0,301611924.0,274310423.0
421832740.0,206345952.0,487388828.0,207609084.0,1049109072.0,252027880.0,347021656.0,338914073.0,379821069.0,352706485.0
578364937.0,394281766.0,389353092.0,0.0,233337854.0,0.0,316071099.0,304766206.0,323912830.0,291138233.0
394637760.0,409980003.0,512418478.0,467051084.0,0.0,1021445793.0,322085376.0,289144184.0,341991479.0,286778074.0
315851553.0,509319976.0,403312231.0,695775008.0,497690216.0,490681971.0,367565685.0,283342021.0,308234767.0,299369242.0
510151810.0,478644234.0,316016431.0,0.0,0.0,0.0,322630011.0,288161109.0,329442030.0,325617521.0
410351413.0,490312960.0,521817642.0,686932705.0,709633874.0,216246853.0,273687644.0,312407181.0,345902971.0,311479803.0
497015315.0,390696824.0,481272582.0,209434350.0,695233717.0,0.0,307683033.0,310930867.0,386502268.0,342113761.0
401325844.0,300675792.0,310743633.0,418211117.0,0.0,790505553.0,365283639.0,283039444.0,321487389.0,290388581.0
399723227.0,387047001.0,318799305.0,806359740.0,242116217.0,665718375.0,384139910.0,276218169.0,344335411.0,398382957.0
589089611.0,401052713.0,315010349.0,0.0,772673509.0,450745379.0,381719658.0,319571058.0,318020123.0,370671930.0
385570203.0,403901128.0,383459436.0,207185379.0,479071708.0,0.0,341340366.0,295292031.0,348316108.0,319938948.0
321460152.0,500529540.0,413232398.0,0.0,501253869.0,223918334.0,258665727.0,308434344.0,330387717.0,403995528.0
392725360.0,480969479.0,590867802.0,442772530.0,479291048.0,0.0,299661434.0,336085119.0,328039786.0,297092823.0
486571936.0,422229476.0,403283098.0,439454688.0,1161337811.0,964759166.0,374885021.0,297323829.0,331989599.0,283208666.0
504377992.0,315059762.0,389884973.0,1167961508.0,0.0,457374111.0,302167825.0,290488616.0,302229482.0,305922485.0
384509945.0,318006324.0,330292234.0,654613222.0,236476816.0,216750486.0,291742970.0,324773622.0,325122796.0,511199232.0
401066801.0,309970900.0,469455534.0,239246210.0,0.0,203627700.0,305648674.0,286537657.0,331897672.0,366879323.0
506109335.0,381295521.0,410472600.0,444107282.0,469575396.0,0.0,331596794.0,300572918.0,289697136.0,301437755.0
497782223.0,321591422.0,404548559.0,735514320.0,456779161.0,530842808.0,305738962.0,280942675.0,314410644.0,291641662.0
383101271.0,494837794.0,311973333.0,0.0,925086582.0,435763457.0,297162944.0,300800074.0,358151057.0,333507411.0
318430891.0,500818336.0,401484227.0,207380574.0,738128492.0,223833818.0,284694772.0,360947820.0,332240906.0,349723395.0
494531701.0,490050715.0,416051516.0,0.0,238469946.0,0.0,342350151.0,286935416.0,295865001.0,295058977.0
487957488.0,392491287.0,388109849.0,445029618.0,777505095.0,0.0,296096648.0,293067162.0,329625815.0,343058177.0
321963104.0,308257890.0,489637856.0,451787172.0,0.0,750219392.0,298780738.0,373826133.0,335262399.0,285961747.0
392015238.0,309253652.0,388875625.0,820201035.0,436264015.0,430477044.0,294456752.0,297087950.0,346629994.0,310903028.0
419221864.0,392659253.0,391696694.0,673099586.0,740881479.0,0.0,477457650.0,296790140.0,374771126.0,436912225.0
529819189.0,360619844.0,516898301.0,209945957.0,491785220.0,201917819.0,340887958.0,289007647.0,396871017.0,341277158.0
379400528.0,481152565.0,405978007.0,445378060.0,1002721497.0,0.0,371181286.0,275618976.0,341061889.0,318493379.0
308781389.0,501154488.0,404432452.0,662182966.0,0.0,671078934.0,361461806.0,317562874.0,352659255.0,275653523.0
580175889.0,408577770.0,396022290.0,0.0,279428938.0,438305264.0,337738448.0,266981428.0,301805734.0,277680678.0
404077001.0,409505496.0,379471659.0,209595068.0,0.0,0.0,347673184.0,325269937.0,317826281.0,383960762.0
413042672.0,377942226.0,392692205.0,0.0,515921812.0,211928495.0,350068224.0,275056737.0,338053064.0,320363192.0
397423089.0,306483213.0,410634759.0,428819112.0,826209652.0,0.0,294380987.0,309260626.0,305685136.0,272433412.0
