fd_normal,fd_normal2,fd_normal3,fr_normal,fr_normal2,fr_normal3,preprocess_normal,preprocess_normal2,preprocess_normal3,preprocess_normal4
2.6e-09,1e-09,2.6e-09,6e-10,0.0,0.0,0.0,3.3e-09,6.5e-09,0.0
5.6e-09,6.7e-09,6.7e-09,0.0,2e-10,4e-10,1.89e-08,2.04e-08,1.99e-08,2.1e-08
6e-09,1e-08,7.2e-09,5e-10,8e-10,0.0,2.27e-08,1.69e-08,2.09e-08,2.14e-08
4.9e-09,5.9e-09,6.8e-09,4e-10,4e-10,1e-09,2.22e-08,2.14e-08,2e-08,2.18e-08
8.4e-09,9.4e-09,6.6e-09,1e-09,0.0,5e-10,2.16e-08,2.07e-08,1.98e-08,2.1e-08
8e-09,4.7e-09,8e-09,0.0,4e-10,0.0,2.28e-08,2.06e-08,2.03e-08,2.15e-08
2.4e-09,6.5e-09,5.5e-09,5e-10,0.0,5e-10,2.31e-08,2.13e-08,1.99e-08,1.94e-08
7.4e-09,4.4e-09,6.7e-09,0.0,1e-09,0.0,2.3e-08,2.12e-08,2e-08,2.16e-08
6.9e-09,4.6e-09,5e-09,4e-10,6e-10,8e-10,2.23e-08,2.25e-08,1.99e-08,1.93e-08
7e-09,7.1e-09,8.6e-09,1e-09,0.0,6e-10,2.22e-08,2.25e-08,2e-08,2.07e-08
4.8e-09,9.3e-09,4.4e-09,3e-10,4e-10,5e-10,2.21e-08,2.26e-08,2.01e-08,2.1e-08
5.6e-09,8.2e-09,5.5e-09,3e-10,6e-10,5e-10,2.18e-08,2.35e-08,2e-08,1.98e-08
6.1e-09,7.3e-09,6.3e-09,5e-10,8e-10,0.0,2.2e-08,2.22e-08,1.98e-08,2.1e-08
7.8e-09,6.5e-09,8.2e-09,4e-10,6e-10,9e-10,2.16e-08,2.26e-08,1.99e-08,2.08e-08
3.5e-09,5.2e-09,6.9e-09,1e-09,8e-10,0.0,2.24e-08,2.19e-08,1.96e-08,2.22e-08
7.3e-09,6.3e-09,6.8e-09,0.0,7e-10,5e-10,2.22e-08,2.32e-08,2.06e-08,2.2e-08
6.7e-09,2.8e-09,7e-09,5e-10,1e-10,5e-10,2.18e-08,2.25e-08,2.03e-08,2.11e-08
7.2e-09,7.6e-09,3.8e-09,0.0,4e-10,0.0,2.19e-08,2.13e-08,1.99e-08,2.24e-08
3.9e-09,7.9e-09,8.4e-09,6e-10,0.0,9e-10,2.31e-08,2.18e-08,2e-08,2.13e-08
6.6e-09,8.5e-09,5.6e-09,1e-09,4e-10,4e-10,2.17e-08,2.17e-08,2.02e-08,2.17e-08
5.9e-09,7.1e-09,5.9e-09,0.0,0.0,0.0,2.25e-08,2.34e-08,2.02e-08,1.81e-08
7.3e-09,7.2e-09,5.8e-09,6e-10,1e-09,5e-10,2.31e-08,2.13e-08,1.98e-08,2.14e-08
5.1e-09,5e-09,7e-09,5e-10,6e-10,0.0,2.3e-08,2.31e-08,1.98e-08,2.09e-08
5.8e-09,6.3e-09,6.5e-09,4e-10,0.0,1e-09,2.22e-08,2.25e-08,1.98e-08,2.16e-08
6.5e-09,2.7e-09,7.7e-09,1e-09,4e-10,6e-10,2.28e-08,2.26e-08,2.05e-08,1.97e-08
8.5e-09,7.2e-09,6.7e-09,0.0,6e-10,6e-10,2.22e-08,2.33e-08,1.95e-08,2.08e-08
4e-09,7.6e-09,8.5e-09,5e-10,8e-10,0.0,2.19e-08,2.2e-08,2.06e-08,2.15e-08
6.5e-09,8.1e-09,6.9e-09,0.0,9e-10,5e-10,2.35e-08,2.17e-08,1.96e-08,2.12e-08
5e-09,7.7e-09,5.6e-09,6e-10,4e-10,0.0,2.23e-08,2.22e-08,2.1e-08,2.14e-08
8.9e-09,8.7e-09,7.3e-09,6e-10,8e-10,9e-10,2.29e-08,2.24e-08,1.96e-08,2.16e-08
5.8e-09,4e-09,7.3e-09,3e-10,0.0,6e-10,2.15e-08,2.27e-08,2.12e-08,2.14e-08
3.8e-09,6.1e-09,4.1e-09,6e-10,5e-10,2e-10,2.26e-08,2.28e-08,1.97e-08,1.94e-08
6.9e-09,3.6e-09,6.1e-09,4e-10,0.0,3e-10,2.3e-08,2.04e-08,2.04e-08,2.19e-08
8e-09,7e-09,7e-09,4e-10,4e-10,0.0,2.24e-08,2.23e-08,2e-08,2.04e-08
6e-09,6.7e-09,7.8e-09,1e-09,1e-10,9e-10,2.3e-08,2.17e-08,2.04e-08,2.24e-08
5.7e-09,9.1e-09,7.1e-09,0.0,7e-10,6e-10,2.31e-08,2.19e-08,2.09e-08,2.06e-08
4.5e-09,6.5e-09,6.4e-09,5e-10,6e-10,5e-10,2.28e-08,2.11e-08,2.05e-08,2.27e-08
