fd_normal,fd_normal2,fd_normal3,fr_normal,fr_normal2,fr_normal3,preprocess_normal,preprocess_normal2,preprocess_normal3,preprocess_normal4
425517056.0,308101120.0,296078131.2,523340595.2,391913472.0,519647232.0,484716544.0,462348970.6666667,470049938.2857143,462424064.0
444273049.6,372424248.8888889,371898368.0,524828672.0,450044723.2,523703091.2,504904499.2,456068300.8,469131264.0,462085734.4
446428774.4,436192987.4285714,408768102.4,530599526.4,488340684.8,522862592.0,501470003.2,438314188.8,474903347.2,466982092.8
449642086.4,456531558.4,425595699.2,497308467.2,487598080.0,523568742.4,498810880.0,439455744.0,475392000.0,469145600.0
458822860.8,466131353.6,430643200.0,513559756.8,485814272.0,528743628.8,492295372.8,460114739.2,475425587.2,457510912.0
464404480.0,475542414.2222222,440800142.2222222,500047872.0,492392448.0,521269248.0,503351296.0,459739136.0,474343833.6,445881548.8
465173299.2,478417305.6,447256985.6,502851174.4,492412928.0,525583974.4,502266675.2,464595626.6666667,473440256.0,446735564.8
466126028.8,480668876.8,452809113.6,500006912.0,496115712.0,525819904.0,508902195.2,455697203.2,474332364.8,457976217.6
467451084.8,481044070.4,456921497.6,511603507.2,496338124.8,543301222.4,506023936.0,468166656.0,475361689.6,458340352.0
469550694.4,484517888.0,464166502.4,519129907.2,515338240.0,536199168.0,498375884.8,466000281.6,469647769.6,465131110.4
470282240.0,485471846.4,466289049.6,531881984.0,517849088.0,534071296.0,497844224.0,458173235.2,474966835.2,462582579.2
470518579.2,485734809.6,473990348.8,532062208.0,521416704.0,533801779.2,496226304.0,466948915.2,468609843.2,464016588.8
471378329.6,486437273.6,481174732.8,532875673.6,523584716.8,535134208.0,495421440.0,468030668.8,475876147.2,468669235.2
472066867.2,487784038.4,484405657.6,523830886.4,526317977.6,541812736.0,504198348.8,465845043.2,474423296.0,474185728.0
472618188.8,488457420.8,485147852.8,528582656.0,519295795.2,521900032.0,509141811.2,464986521.6,473443123.2,467603911.1111111
472947097.6,489186918.4,485750374.4,513122304.0,525151436.8,501694054.4,505147801.6,467322060.8,477228236.8,471090380.8
473353011.2,489895936.0,485743001.6,522336665.6,527077376.0,497156096.0,512964198.4,451400089.6,472865587.2,467404800.0
473957171.2,490357555.2,486232473.6,519544832.0,526408908.8,490401792.0,500486144.0,476289024.0,476259942.4,479737446.4
473955532.8,491259084.8,486905036.8,528132915.2,523882496.0,508442624.0,497975705.6,475497676.8,476005171.2,483731865.6
475327692.8,491489689.6,487123763.2,535500390.4,527547596.8,541733273.6,499330662.4,474970521.6,473965363.2,481926758.4
