fd_normal,fd_normal2,fd_normal3,fr_normal,fr_normal2,fr_normal3,preprocess_normal,preprocess_normal2,preprocess_normal3,preprocess_normal4
0.0067511754,0.0035525615,0.001510197,0.0004507434,0.0001502982,0.0,0.0088797788,0.0152509505,0.0144598137,0.0100509215
0.0033009016,0.0037905388,0.0050167858,0.0,5.28e-08,0.0003006474,0.0157871205,0.0144369122,0.0138425786,0.0140928288
0.0041843034,0.0043430637,0.0054662443,0.0003758802,0.0006029554,0.0,0.0151415362,0.0122392991,0.014054146,0.0146813792
0.0031065421,0.0044861553,0.0048502315,0.0003005922,0.0003007662,0.0007517516,0.01527107,0.0138672406,0.0139392484,0.0151987307
0.0062176048,0.006472028,0.0044115756,0.0007530626,1.12e-08,0.0003757746,0.0151096343,0.0143159947,0.0139317091,0.0153001709
0.0053926562,0.0025750012,0.0051718287,0.0,0.0003006474,0.0,0.016016342,0.0146275707,0.014097199,0.0146809119
0.0018163517,0.0047665054,0.0033904734,0.0001503996,0.0,0.0003758542,0.0155211996,0.0135927985,0.0122577792,0.0141784702
0.0055387103,0.0029064674,0.0050269264,0.0,0.0007518002,0.0,0.0160140197,0.0143278285,0.0140640323,0.0143312532
0.004720176,0.0033900116,0.0029552274,0.0003008306,0.0004509014,0.0006025436,0.0158477402,0.0154935201,0.0139378674,0.013119091
0.0043208192,0.0048113798,0.0057324498,0.0007522436,1.4e-08,0.00022555,0.0153756372,0.015985338,0.0137425391,0.0140393041
0.0033340783,0.0066788961,0.0030018752,0.0002252826,0.0003006012,0.0003763276,0.0152218634,0.0154205725,0.0141104365,0.0144251574
0.0035689106,0.0053366771,0.0036425768,0.0,0.0004509358,0.0003757614,0.0149918354,0.0161955627,0.0141227028,0.0138526837
0.0044090474,0.0055723015,0.0040286572,0.0003758088,0.0006014148,0.0,0.0157940316,0.0153737085,0.0134620339,0.0144846269
0.0053445556,0.0042324914,0.0056216397,0.0003007176,0.0003006672,0.000677219,0.0152514406,0.0155557357,0.0138291432,0.0132508367
0.0018638642,0.0034465774,0.0046302794,0.0007515362,0.0003014314,4.2e-09,0.0148326704,0.0149783073,0.0139288933,0.0149055391
0.0050908391,0.0043918597,0.0048594175,0.0,0.0006020728,7.52328e-05,0.0155778646,0.0159397916,0.0138260837,0.015044661
