fd_normal,fd_normal2,fd_normal3,fr_normal,fr_normal2,fr_normal3,preprocess_normal,preprocess_normal2,preprocess_normal3,preprocess_normal4
0.0041203965,0.0029217357,0.001498326,0.0,0.0,0.0,0.0016584634,0.0086692405,0.0095738569,0.0046738514
0.0032963172,0.003745815,0.0049444758,0.0,1e-10,0.0,0.0153030941,0.0136446307,0.0137200154,0.0136446307
0.0040454802,0.0042702291,0.0053939736,0.0,0.0,0.0,0.0148507859,0.0119861673,0.0138707848,0.0145492471
0.0030715683,0.0043451454,0.0047946432,0.0,0.0,0.0,0.0150015553,0.0132677072,0.0136446307,0.0150015553
0.0062929692,0.0062929692,0.004494978,0.0,0.0,0.0,0.0148507859,0.0139461695,0.0137200154,0.0152277094
0.0053190573,0.0026220705,0.0049444758,0.0,0.0,0.0,0.0157554023,0.014323093,0.0139461695,0.0144738624
0.0017230749,0.0047197269,0.0033712335,0.0,0.0,0.0,0.0153784788,0.0134184766,0.0134938613,0.0139461695
0.0054688899,0.0029217357,0.0049444758,0.0,0.0,0.0,0.0156800176,0.0140969389,0.0133430919,0.0140215542
0.0047197269,0.0032963172,0.0030715683,0.0,0.0,0.0,0.0151523247,0.0151523247,0.0134938613,0.0129661684
0.0044200617,0.0048695595,0.0056187225,0.0,0.0,0.0,0.0149261706,0.015830787,0.0132677072,0.0137954001
0.0032963172,0.0064428018,0.0029217357,0.0,0.0,0.0,0.0147000165,0.0159061717,0.0140215542,0.0144738624
0.0035959824,0.0053190573,0.0035959824,0.0,0.0,0.0,0.0147754012,0.0157554023,0.0136446307,0.013569246
0.0043451454,0.0053939736,0.0040454802,0.0,0.0,0.0,0.0156046329,0.0152277094,0.0133430919,0.014323093
0.0051692247,0.0041203965,0.0055438062,0.0,0.0,0.0,0.0150015553,0.0152277094,0.0137200154,0.0148507859
0.0017979912,0.0033712335,0.004494978,0.0,0.0,0.0,0.0149261706,0.0147754012,0.0138707848,0.0125892449
0.0050193921,0.0043451454,0.0047946432,0.0,0.0,0.0,0.0154538635,0.0157554023,0.0137954001,0.0149261706
0.0046448106,0.0020976564,0.0047197269,0.0,0.0,0.0,0.0156800176,0.0149261706,0.0134938613,0.0147754012
0.0044200617,0.0055438062,0.0025471542,0.0,0.0,0.0,0.0153784788,0.0143984777,0.0139461695,0.0148507859
0.0025471542,0.0051692247,0.0053939736,0.0,0.0,0.0,0.0153030941,0.0145492471,0.0136446307,0.0143984777
0.0042702291,0.0057685551,0.003745815,0.0,0.0,0.0,0.0149261706,0.0147754012,0.013569246,0.0144738624
0.0039705639,0.0047197269,0.0038207313,0.0,0.0,0.0,0.0151523247,0.0154538635,0.0136446307,0.0137954001
0.0050193921,0.0047197269,0.0042702291,0.0,0.0,0.0,0.015830787,0.0152277094,0.0131169378,0.0145492471
0.0029217357,0.0032214009,0.0049444758,0.0,0.0,0.0,0.0154538635,0.0154538635,0.0134184766,0.0133430919
0.0041203965,0.0041203965,0.0040454802,0.0,0.0,0.0,0.0150015553,0.0153030941,0.0136446307,0.0147000165
