fd_normal,fd_normal2,fd_normal3,fr_normal,fr_normal2,fr_normal3,preprocess_normal,preprocess_normal2,preprocess_normal3,preprocess_normal4
0.0041207925,0.0029219949,0.001498506,2.25e-08,0.0,0.0,0.0016684808,0.0086700545,0.0095223479,0.0048446828
0.0032966628,0.0037461606,0.004944951,0.0,1.5e-08,3e-08,0.0153570373,0.0138752896,0.0136557835,0.0136984633
0.004045869,0.0042706467,0.005394492,3.75e-08,6e-08,0.0,0.0148522955,0.0119872551,0.0138721168,0.01448516
0.0030718851,0.0044044993,0.004795104,3e-08,3e-08,7.5e-08,0.0150030501,0.0133870512,0.0136459775,0.0149539581
0.0062411255,0.006293574,0.0044429768,7.5e-08,0.0,3.75e-08,0.0148522511,0.0139705487,0.0136459479,0.0152291968
0.0053195685,0.0026223585,0.004997363,0.0,1.5e-08,0.0,0.0157569193,0.0143900408,0.0138885283,0.0145342273
0.0017232333,0.0047201589,0.0033715791,2.25e-08,0.0,3.75e-08,0.0153079448,0.0134852795,0.013478774,0.0137869892
0.0054693939,0.0029220309,0.0049449222,0.0,7.5e-08,0.0,0.0157404781,0.0140983375,0.0132166423,0.014022975
0.0047201949,0.0032966052,0.0030718779,3e-08,4.5e-08,6e-08,0.0154126724,0.015271744,0.0134952155,0.0128265591
0.0044205009,0.0048700419,0.0056192841,7.5e-08,0.0,4.5e-08,0.0149276729,0.0157568971,0.0133738782,0.0137115668
0.0032966196,0.0064434354,0.0029220165,0.0,3e-08,3.75e-08,0.0147015779,0.015242667,0.013963935,0.0143376733
0.0035439084,0.0053195973,0.0035962848,0.0,4.5e-08,3.75e-08,0.0147702907,0.0157569859,0.0136459553,0.0135509764
0.004345527,0.0054534284,0.0040458834,3.75e-08,5.25e-08,0.0,0.0156585391,0.0151636815,0.0131739421,0.0143245064
0.005222133,0.0041208213,0.005544339,3e-08,2.25e-08,3e-08,0.0149276654,0.0152292264,0.0139703164,0.0146522931
0.0017981928,0.0033715647,0.0045478216,7.5e-08,5.25e-08,0.0,0.0146787037,0.0147179082,0.0138721094,0.0125250428
0.0050198745,0.0043455846,0.0047950824,0.0,2.25e-08,2.25e-08,0.0154554101,0.0157569489,0.0137967099,0.0149276432
0.0046452282,0.0020978436,0.0047202021,3.75e-08,0.0,3.75e-08,0.015065631,0.0149800037,0.0133477509,0.0147113363
0.0044205297,0.0055443174,0.0026129113,0.0,3e-08,0.0,0.0154455226,0.0144130276,0.0139475089,0.0148522807
0.0025473918,0.0051697215,0.0053945136,4.5e-08,0.0,6.75e-08,0.0154356417,0.0145506827,0.0135935437,0.0145243682
0.0042706467,0.0057691095,0.0037461606,5.25e-08,3e-08,1.5e-08,0.0151143612,0.014776859,0.013518174,0.0145276508
0.0039709239,0.0047201733,0.0038211201,0.0,0.0,0.0,0.0151538047,0.0154554027,0.0136459997,0.0137967987
0.0049449438,0.0047201949,0.0042706251,2.25e-08,7.5e-08,3.75e-08,0.015832341,0.0153602422,0.0132427478,0.0146785454
0.0028565331,0.0032217033,0.0049449294,3.75e-08,4.5e-08,0.0,0.015383315,0.0154554027,0.0133542746,0.0133445053
0.0041207709,0.0040683729,0.0041048486,3e-08,0.0,7.5e-08,0.0150031537,0.0153045667,0.0137868522,0.0147768516
0.0043455486,0.0014235465,0.0050199033,7.5e-08,2.25e-08,4.5e-08,0.0152816231,0.0156815568,0.0138197276,0.0144162509
0.0056941788,0.0050198601,0.0045178924,0.0,4.5e-08,4.5e-08,0.0150227961,0.0158323188,0.0133443795,0.0135214015
0.0024724755,0.0048700491,0.0056941716,3.75e-08,6e-08,0.0,0.0154553626,0.015179939,0.0131936915,0.0147047713
0.0048700275,0.0055443174,0.0042706683,0.0,6.75e-08,3.75e-08,0.0154553583,0.015379907,0.0138426549,0.0143768882
0.0038210625,0.0048700347,0.004045833,4.5e-08,3e-08,0.0,0.0153669189,0.0145837872,0.0138754287,0.0143999497
0.0059189637,0.005993916,0.004504872,3e-08,6e-08,6.75e-08,0.0151538639,0.0149931437,0.0136689129,0.0145833268
0.003896022,0.0026223081,0.0051696999,0.0,0.0,4.5e-08,0.0152717315,0.01553078,0.0142490995,0.014403211
0.0028470714,0.0040458906,0.0025473918,2.25e-08,3.75e-08,0.0,0.0155110124,0.0158846496,0.0134787662,0.0138622992
0.0044205153,0.0021727743,0.0035214405,3e-08,0.0,7.5e-09,0.0157339392,0.0142457727,0.0136459997,0.0143244768
0.0062186073,0.0048700059,0.0050198745,3e-08,3e-08,0.0,0.015170254,0.0149505787,0.0134951637,0.01419006
0.0035963568,0.0045703119,0.0059189421,7.5e-08,0.0,6.75e-08,0.0153046555,0.0150161284,0.01400646,0.0145376335
0.003896022,0.0060688395,0.0045703263,0.0,4.5e-08,4.5e-08,0.0156815864,0.0152028678,0.0140983005,0.0142261713
0.0029220381,0.0047201517,0.0042734691,3.75e-08,4.5e-08,3e-08,0.0153045593,0.0138721982,0.0137213918,0.0148030151
0.0063684759,0.0065183445,0.0054694299,0.0,3.75e-08,0.0,0.01553078,0.0147113141,0.0139442261,0.0148981815
0.0050947908,0.0025474134,0.0024724827,4.5e-08,3e-08,0.0,0.0145507789,0.0147047491,0.0138523637,0.0141539876
0.0017232261,0.0050198529,0.0068929332,3e-08,0.0,8.25e-08,0.0153570234,0.0133443721,0.0136623705,0.0145083504
0.005694186,0.0025474062,0.0032216745,2.25e-08,6e-08,3.75e-08,0.0159077109,0.014776859,0.014006504,0.0151374081
0.0047951112,0.0033715287,0.005244681,4.5e-08,7.5e-08,0.0,0.0148522437,0.0152292116,0.0137443355,0.0138065497
0.004045905,0.0041208285,0.0036712443,3.75e-08,3e-08,3.75e-08,0.0141737,0.0155046193,0.0136459849,0.014776859
0.0033715503,0.0062935668,0.0039709239,3e-08,6e-08,0.0,0.0152292338,0.0156815642,0.0139475385,0.0141737074
0.0041208213,0.0052446882,0.0041208141,7.5e-08,0.0,8.25e-08,0.0151702163,0.0153865308,0.0134001472,0.0150029983
0.0041207637,0.005843997,0.00599388,0.0,3e-08,4.5e-08,0.0152455719,0.0159077183,0.0134296443,0.0150948687
0.0053944776,0.0035963496,0.0041208213,3.75e-08,0.0,0.0,0.0154554027,0.0157733759,0.0137377965,0.0144065489
0.0020978652,0.0035963208,0.0059938656,0.0,3e-08,3.75e-08,0.0154488903,0.0150194695,0.0137967469,0.0158421438
0.0044953956,0.0038211201,0.0047950968,4.5e-08,3e-08,0.0,0.0152096722,0.0148522289,0.0135705928,0.01528817
0.0047950752,0.0020978508,0.0035213901,1.5e-08,2.25e-08,7.5e-08,0.0152094512,0.0143244842,0.0138557346,0.0150356561
0.0050292865,0.0053945136,0.00479514,4.5e-08,3.75e-08,4.5e-08,0.0147833714,0.0130428185,0.0138721908,0.0153045963
0.0023975448,0.0049355391,0.0050947764,4.5e-08,3e-08,0.0,0.0151308618,0.0146818134,0.0134952525,0.0147899881
0.0038960364,0.0052446378,0.0024725043,3.75e-08,4.5e-08,3e-08,0.0154520461,0.0144752758,0.013862277,0.0151505328
0.0041956944,0.0046452786,0.0045703191,3e-08,0.0,0.0,0.0154717623,0.0143900481,0.0139474941,0.0149275686
0.0049449942,0.0048700491,0.0049449654,7.5e-08,6e-08,7.5e-08,0.0153342,0.0147766677,0.013698389,0.0150030131
0.0033809907,0.0031308217,0.005244609,0.0,6e-08,4.5e-08,0.0150259727,0.0142491143,0.013426351,0.0143998837
0.003895986,0.0038211129,0.0043455702,3e-08,0.0,3e-08,0.0153046111,0.0133247627,0.0135705706,0.0144491727
0.0042706395,0.0015078816,0.0040618123,0.0,6e-08,3.75e-08,0.015681431,0.0142590059,0.0131182772,0.0152980346
0.0063460076,0.0052446378,0.005394492,4.5e-08,3e-08,0.0,0.0142720874,0.0146260595,0.0135705854,0.0149375422
0.0026223513,0.0047950968,0.0039709671,0.0,0.0,2.25e-08,0.0159273125,0.0144228782,0.0131182032,0.0150391441
0.0049449366,0.0049449438,0.0047950968,3.75e-08,0.0,7.5e-09,0.0160584729,0.0142131438,0.0136950557,0.014927658
0.0031467654,0.0045703479,0.0035963568,4.5e-08,0.0,4.5e-08,0.0148523695,0.0147768368,0.0138721168,0.0150030649
0.0059938872,0.0052446666,0.0058440186,3.75e-08,7.5e-08,3e-08,0.0147998541,0.0141736482,0.0137967395,0.0152455802
0.0042706755,0.0028470786,0.0026223081,3e-08,4.5e-08,0.0,0.0153963924,0.0140983375,0.0136558429,0.0159076961
0.001948011,0.0038960364,0.0035213973,7.5e-08,0.0,5.25e-08,0.0152128442,0.0145506605,0.0136459331,0.0153046481
0.0050198889,0.0021887466,0.0040458834,0.0,3e-08,0.0,0.0152817118,0.0139410142,0.0132690318,0.0152292191
0.0049355253,0.0047042366,0.0064434138,3.75e-08,2.25e-08,1.5e-08,0.0142229713,0.0142851221,0.0135738899,0.0143999503
0.0037322392,0.0043455558,0.004944951,0.0,3.75e-08,3.75e-08,0.0162943309,0.0141966953,0.0138098728,0.0155504998
0.0033715575,0.0059939016,0.0042706323,4.5e-08,1.5e-08,0.0,0.0151799648,0.0137967469,0.0141737148,0.0154553435
0.0038960436,0.0048699915,0.0049449654,0.0,7.5e-08,6.75e-08,0.0158322226,0.0139475459,0.0134361757,0.015071859
0.0055443102,0.0067431078,0.002547399,3.75e-08,7.5e-09,4.5e-08,0.015681542,0.0142491143,0.0138884989,0.0154455111
0.0051697215,0.002397552,0.0065183733,4.5e-08,3.75e-08,3.75e-08,0.0153996637,0.0142261491,0.0133640179,0.0148490209
0.0016483458,0.0050947764,0.0036712299,3.75e-08,3e-08,0.0,0.0153046481,0.0121381281,0.0135672737,0.0155535848
0.0051697215,0.002547399,0.0047202165,3e-08,0.0,3e-08,0.0149570011,0.0143113618,0.013570578,0.015412782
0.0050853797,0.0036712227,0.0038960148,6.75e-08,3e-08,0.0,0.0154125945,0.0145178586,0.0136329355,0.0153308631
0.0044205153,0.0043455486,0.0045703191,0.0,0.0,6.75e-08,0.0154324446,0.0130691254,0.0140720378,0.0152291894
0.0029969472,0.0061437198,0.0038960364,3.75e-08,7.5e-08,3e-08,0.0156061351,0.0145407467,0.0139574375,0.015514435
0.0040552737,0.0047951328,0.0056941932,0.0,4.5e-08,0.0,0.0147769848,0.0137968505,0.01325259,0.0152292338
0.0038960148,0.0062186073,0.0041207925,4.5e-08,0.0,2.25e-08,0.0153209861,0.0133345587,0.0137213326,0.0154553509
0.0053195397,0.0035214261,0.0059189421,0.0,2.25e-08,0.0,0.0154553696,0.0141737148,0.0135706076,0.0160584507
0.002247741,0.0035963208,0.0047950896,4.5e-08,4.5e-08,7.5e-08,0.0149276136,0.0149046553,0.0120890467,0.0146359294
0.0046452354,0.0035963496,0.0035213901,4.5e-08,6e-08,4.5e-08,0.0154421653,0.0142752228,0.013252627,0.0141737148
0.0041957016,0.002097858,0.0046452858,3.75e-08,5.25e-08,1.5e-08,0.0139476865,0.0140983375,0.0136689358,0.0147014965
0.006143727,0.0055443246,0.0049449222,3e-08,3e-08,0.0,0.015229145,0.0140229232,0.0137213696,0.0154553435
0.0021727815,0.0054693723,0.002397552,7.5e-08,6e-08,0.0,0.0146687638,0.0140065487,0.0130428629,0.0150031908
0.0047202093,0.0058824662,0.004195752,0.0,0.0,9.75e-08,0.014652393,0.0147768294,0.0139704666,0.0147768368
0.0036712371,0.0047201949,0.004645257,3.75e-08,3e-08,3e-08,0.0151668325,0.0144687147,0.0141213324,0.0154488672
0.0055443606,0.0045703767,0.0048699987,0.0,0.0,0.0,0.0155307874,0.0140229454,0.0139639429,0.0151931878
0.003896022,0.0033715431,0.0044954028,3e-08,3.75e-08,3.75e-08,0.0156585543,0.0137869219,0.0131182476,0.0155306031
0.0034464594,0.0038960004,0.0042706323,0.0,0.0,0.0,0.015380018,0.0137213844,0.0134952007,0.0134396308
0.0045703407,0.0015734007,0.0052474746,7.5e-08,7.5e-08,6.75e-08,0.0155176133,0.014173737,0.0132526124,0.0150194991
0.0062026855,0.0050947908,0.0032217393,4.5e-08,4.5e-08,4.5e-08,0.0152718495,0.0143245434,0.0134197568,0.0158877825
0.0038211345,0.0051603025,0.0043455198,3e-08,3e-08,0.0,0.0151734732,0.01444565,0.0137246967,0.0154290964
0.0038210769,0.0055442886,0.0033715863,3.75e-08,2.25e-08,3e-08,0.0156815642,0.0140262943,0.0131969002,0.0148718319
0.0030718851,0.0046452786,0.0055443246,7.5e-08,0.0,0.0,0.0148523177,0.0136983819,0.0137967543,0.0154421367
0.0059189709,0.0050198961,0.0029219805,0.0,6e-08,6.75e-08,0.015380055,0.0141869115,0.0136689138,0.0150161358
0.0047202093,0.0029969256,0.0034268481,3.75e-08,7.5e-08,3e-08,0.0151538491,0.0144588937,0.01314437,0.0146489881
0.0018730731,0.0036712587,0.0046452858,0.0,3e-08,0.0,0.0153701304,0.0140229971,0.0137148303,0.0146031173
