fd_normal,fd_normal2,fd_normal3,fr_normal,fr_normal2,fr_normal3,preprocess_normal,preprocess_normal2,preprocess_normal3,preprocess_normal4
1.94474e-05,1.06747e-05,5.5236e-06,2.8032e-06,7.978e-07,0.0,4.84209e-05,5.01348e-05,4.19812e-05,4.5419e-05
1.06281e-05,1.19897e-05,1.4955e-05,0.0,7.48e-08,1.9876e-06,8.3211e-05,5.13261e-05,4.17898e-05,6.21945e-05
1.38178e-05,1.24652e-05,1.71072e-05,2.3756e-06,3.1442e-06,0.0,8.05226e-05,4.56345e-05,4.35476e-05,6.78831e-05
9.7934e-06,1.28464e-05,1.53018e-05,1.9456e-06,1.849e-06,3.8296e-06,8.03461e-05,4.57437e-05,4.13542e-05,6.38541e-05
1.79597e-05,2.07172e-05,1.35908e-05,4.6186e-06,4.2e-09,2.0324e-06,8.0131e-05,4.88297e-05,4.46848e-05,6.93884e-05
1.541e-05,8.911e-06,1.5593e-05,0.0,1.53e-06,0.0,8.42385e-05,4.91334e-05,4.56615e-05,6.83625e-05
5.8586e-06,1.51037e-05,1.17904e-05,1.018e-06,0.0,2.3822e-06,8.26859e-05,4.25424e-05,3.78509e-05,6.65602e-05
1.93989e-05,9.6824e-06,1.43406e-05,0.0,4.0762e-06,0.0,8.99643e-05,4.72509e-05,4.17431e-05,6.25144e-05
1.51015e-05,1.094e-05,1.07934e-05,1.8478e-06,2.4227e-06,3.4562e-06,8.48187e-05,5.06473e-05,4.2728e-05,6.55402e-05
1.39128e-05,1.66923e-05,1.81616e-05,3.7834e-06,7e-09,1.4238e-06,8.54405e-05,5.2488e-05,4.23266e-05,6.33262e-05
1.08411e-05,2.02822e-05,8.9764e-06,1.2828e-06,1.816e-06,2.0864e-06,7.99654e-05,5.18132e-05,4.06128e-05,6.67739e-05
1.21382e-05,1.66465e-05,1.2629e-05,0.0,2.6118e-06,2.3294e-06,8.0877e-05,5.07352e-05,4.50672e-05,6.61229e-05
1.27374e-05,1.72201e-05,1.37972e-05,2.5087e-06,3.5286e-06,0.0,8.43358e-05,4.89679e-05,3.84299e-05,6.83137e-05
