fd_normal,fd_normal2,fd_normal3,fr_normal,fr_normal2,fr_normal3,preprocess_normal,preprocess_normal2,preprocess_normal3,preprocess_normal4
2995267876.571429,2285718732.8,2803155763.2,1624707481.6,938866688.0,1621499904.0,1771563008.0,1771913216.0,1766572032.0,1777292288.0
2986252288.0,2638127104.0,3131384627.2,1622294528.0,1216255590.4,1621499904.0,1765688115.2,1779038208.0,1777482547.2,1777711923.2
2971984691.2,2961719296.0,3137259520.0,1622032384.0,1561266585.6,1621499904.0,1779116441.6,1782605004.8,1767411302.4,1760087244.8
2951002931.2,3056732979.2,3131384627.2,1621770240.0,1621136998.4,1624542003.2,1779116441.6,1771746918.4,1765732761.6,1772676300.8
3086099251.2,3111370752.0,3111242137.6,1629349478.4,1620717568.0,1622286336.0,1771563008.0,1768389836.8,1770768384.0,1776872652.8
3089449779.2,3086703274.6666665,3133063168.0,1622556672.0,1620796211.2,1622286336.0,1773241548.8,1772586188.8,1773286195.2,1777711923.2
3008040550.4,3101437132.8,3105367244.8,1622556672.0,1621241856.0,1621657190.4,1785830604.8,1768576341.3333333,1776643276.8,1786104627.2
3049164800.0,3080455372.8,3166686412.8,1622556672.0,1624126668.8,1621499904.0,1782473523.2,1773425459.2,1762375680.0,1773515571.2
3070985830.4,3096401510.4,3093879603.2,1622556672.0,1623837900.8,1627348172.8,1765688115.2,1775261286.4,1762375680.0,1788622438.4
3062593126.4,3103954944.0,3153467801.6,1626123468.8,1622290432.0,1624017305.6,1790026956.8,1767812710.4,1775804006.4,1779390464.0
3034897203.2,3179489280.0,3131646771.2,1624733286.4,1622290432.0,1622286336.0,1785830604.8,1766134169.6,1754822246.4,1771837030.4
3029861580.8,3176971468.8,3094718873.6,1622556672.0,1625175244.8,1622286336.0,1795062579.2,1760259276.8,1767411302.4,1791140249.6
3074526412.8,3147597004.8,3123254067.2,1622451814.4,1622788505.6,1622286336.0,1781634252.8,1771169792.0,1766572032.0,1786104627.2
3064533811.2,3118222540.8,3146753638.4,1622294528.0,1622552576.0,1627636531.2,1792544768.0,1764455628.8,1772611584.0,1772676300.8
3022570291.2,3102276403.2,3116539904.0,1629795123.2,1624021401.6,1622810624.0,1776598630.4,1771169792.0,1773560627.2,1785451861.3333333
3042712780.8,3088848076.8,3123254067.2,1623080960.0,1629371596.8,1622574694.4,1792544768.0,1772848332.8,1765167923.2,1766801408.0
3054462566.4,3074580480.0,3128289689.6,1623080960.0,1623339008.0,1622469836.8,1791705497.6,1788006809.6,1766846464.0,1786104627.2
3080479948.8,3123258163.2,3098075955.2,1623080960.0,1623024435.2,1622286336.0,1784991334.4,1764713676.8,1764328652.8,1770158489.6
3019213209.6,3120740352.0,3194592051.2,1623080960.0,1622552576.0,1627610316.8,1784152064.0,1778981273.6,1766846464.0,1771837030.4
3038516428.8,3174453657.6,3103111577.6,1633519206.4,1622552576.0,1622548480.0,1798419660.8,1767231488.0,1765167923.2,1777711923.2
3074605056.0,3120740352.0,3098915225.6,1624444518.4,1622552576.0,1622548480.0,1777437900.8,1767231488.0,1756775219.2,1787783168.0
3082997760.0,3125775974.4,3140878745.6,1624785715.2,1627771699.2,1622417408.0,1776598630.4,1764713676.8,1769364275.2,1789461708.8
3050266214.4,3094722969.6,3147592908.8,1622871244.8,1627011072.0,1622286336.0,1783312793.6,1775624192.0,1772721356.8,1796175872.0
3041873510.4,3095562240.0,3105629388.8,1622346956.8,1622814720.0,1629577216.0,1792544768.0,1762195865.6,1768525004.8,1776872652.8
3043552051.2,3077098291.2,3112343552.0,1629664051.2,1622578790.4,1624567808.0,1805133824.0,1772267110.4,1763489382.4,1798693683.2
3116568576.0,3114865459.2,3105629388.8,1623080960.0,1626171801.6,1622417408.0,1795901849.6,1774784921.6,1773560627.2,1789461708.8
3005784883.2,3118222540.8,3144235827.2,1622845030.4,1624414617.6,1622286336.0,1786669875.2,1774784921.6,1770203545.6,1777711923.2
3034320076.8,3160186060.8,3108147200.0,1622818816.0,1629476454.4,1622286336.0,1764848844.8,1781499084.8,1766007193.6,1788622438.4
3033480806.4,3145079193.6,3145914368.0,1622818816.0,1622814720.0,1622286336.0,1790866227.2,1779820544.0,1771882086.4,1776872652.8
3083837030.4,3160186060.8,3129968230.4,1628064153.6,1629948313.6,1628947660.8,1802616012.8,1768910028.8,1775239168.0,1768479948.8
3046069862.4,3083812454.4,3113182822.4,1623080960.0,1623601152.0,1622784409.6,1788348416.0,1769749299.2,1764328652.8,1779390464.0
3020891750.4,3096401510.4,3087165440.0,1624261427.2,1623601152.0,1622548480.0,1775759360.0,1789052518.4,1770203545.6,1806247116.8
3049426944.0,3082973184.0,3126797653.333333,1622346956.8,1623601152.0,1622548480.0,1784991334.4,1768910028.8,1763489382.4,1788622438.4
3088033382.4,3125775974.4,3122414796.8,1622032384.0,1623601152.0,1622548480.0,1797580390.4,1768070758.4,1763489382.4,1781069004.8
3054462566.4,3121579622.4,3123406661.818182,1631185305.6,1623601152.0,1628816588.8,1794223308.8,1775624192.0,1768525004.8,1771837030.4
3027605913.6,3166900224.0,3114861363.2,1622818816.0,1629239705.6,1622627123.2,1774080819.2,1765552947.2,1776078438.4,1795336601.6
3015016857.6,3161864601.6,3129968230.4,1622818816.0,1625253478.4,1622469836.8,1790026956.8,1773106380.8,1763489382.4,1780334592.0
3098104627.2,3178650009.6,3161853952.0,1622818816.0,1623339008.0,1621762048.0,1790866227.2,1766392217.6,1766007193.6,1782170419.2
3098098073.6,3088848076.8,3114844979.2,1622818816.0,1626696089.6,1623545446.4,1789187686.4,1759678054.4,1771042816.0,1787206041.6
3035142963.2,3110669107.2,3203807641.6,1626306969.6,1623339008.0,1631570329.6,1781634252.8,1781499084.8,1770203545.6,1774616985.6
3103123865.6,3087169536.0,3127434035.2,1624864768.0,1623050649.6,1622810624.0,1786669875.2,1771427840.0,1766846464.0,1781331148.8
3076267212.8,3097240780.8,3153451417.6,1626175897.6,1627981414.4,1622810624.0,1800937472.0,1775624192.0,1776917708.8,1801473638.4
3123266355.2,3106472755.2,3166879744.0,1622818816.0,1622814720.0,1622810624.0,1772402278.4,1766392217.6,1771882086.4,1790563123.2
3070392320.0,3171096576.0,3158487040.0,1622818816.0,1630000742.4,1622810624.0,1788348416.0,1759678054.4,1771882086.4,1786366771.2
3076267212.8,3165221683.2,3146737254.4,1628273868.8,1623339008.0,1626298777.6,1800937472.0,1778142003.2,1768525004.8,1776295526.4
3100606054.4,3140882841.6,3172754636.8,1623343104.0,1622893363.2,1622758195.2,1794223308.8,1763874406.4,1762650112.0,1767063552.0
3117391462.4,3108151296.0,3155969228.8,1623343104.0,1622814720.0,1622548480.0,1792544768.0,1776463462.4,1773560627.2,1798955827.2
3054446182.4,3094722969.6,3179468800.0,1623343104.0,1622814720.0,1622364979.2,1805133824.0,1760517324.8,1775239168.0,1778813337.6
3090534809.6,3093044428.8,3169397555.2,1623159603.2,1628112486.4,1622286336.0,1790866227.2,1772267110.4,1769364275.2,1772938444.8
3086338457.6,3075419750.4,3145897984.0,1623054745.6,1624781619.2,1627006976.0,1809330176.0,1778142003.2,1781114060.8,1783848960.0
3136694681.6,3133329408.0,3203248128.0,1628352512.0,1624257331.2,1622810624.0,1793384038.4,1778981273.6,1765167923.2,1783009689.6
3045214208.0,3140882841.6,3160012986.181818,1624523571.2,1622552576.0,1622810624.0,1776598630.4,1774784921.6,1773560627.2,1772170035.2
3085499187.2,3172775116.8,3119321088.0,1622818816.0,1624335974.4,1622391193.6,1780794982.4,1784856166.4,1771042816.0,1770323968.0
3098927513.6,3119061811.2,3147805416.7272725,1622818816.0,1622814720.0,1622286336.0,1779955712.0,1767231488.0,1769364275.2,1782219571.2
3104802406.4,3125775974.4,3170236825.6,1630031052.8,1622814720.0,1629865574.4,1777437900.8,1773106380.8,1771882086.4,1766273433.6
3095570432.0,3095562240.0,3141701632.0,1623605248.0,1626460160.0,1624541593.6,1790866227.2,1774784921.6,1760132300.8,1780541030.4
3070392320.0,3107312025.6,3136666009.6,1623054745.6,1622814720.0,1622600908.8,1775759360.0,1770588569.6,1771042816.0,1796487168.0
3087177728.0,3072062668.8,3146737254.4,1622818816.0,1630158028.8,1622548480.0,1784991334.4,1767231488.0,1766007193.6,1767112704.0
3153480089.6,3108151296.0,3156808499.2,1622818816.0,1623312793.6,1622548480.0,1781634252.8,1766392217.6,1761810841.6,1787255193.6
3052767641.6,3135847219.2,3143380172.8,1622818816.0,1623076864.0,1626875904.0,1783312793.6,1770588569.6,1769364275.2,1776344678.4
3072070860.8,3162703872.0,3178629529.6,1628588441.6,1623076864.0,1624279449.6,1800937472.0,1773945651.2,1769364275.2,1760398540.8
3050249830.4,3147597004.8,3142540902.4,1626700185.6,1623076864.0,1622548480.0,1805973094.4,1778981273.6,1760971571.2,1782219571.2
3119070003.2,3145079193.6,3168558284.8,1623343104.0,1626329088.0,1622469836.8,1784991334.4,1782338355.2,1768525004.8,1778023219.2
3093891891.2,3088008806.4,3155129958.4,1623212032.0,1626171801.6,1622286336.0,1795062579.2,1771427840.0,1781114060.8,1773826867.2
3041017856.0,3095562240.0,3138344550.4,1627408384.0,1622814720.0,1630364057.6,1780794982.4,1770588569.6,1775239168.0,1767112704.0
3079624294.4,3074580480.0,3176204970.6666665,1623605248.0,1622814720.0,1622810624.0,1801776742.4,1775624192.0,1773560627.2,1775505408.0
3112355840.0,3118222540.8,3160775959.2727275,1623238246.4,1624493260.8,1622810624.0,1805133824.0,1765552947.2,1772721356.8,1782219571.2
3090534809.6,3109829836.8,3155129958.4,1623080960.0,1622814720.0,1622600908.8,1791705497.6,1768910028.8,1776078438.4,1766273433.6
3067874508.8,3162703872.0,3166879744.0,1623080960.0,1622814720.0,1622286336.0,1790866227.2,1771427840.0,1766007193.6,1775505408.0
3062838886.4,3132490137.6,3175272448.0,1623080960.0,1625962086.4,1629419929.6,1792544768.0,1775624192.0,1773560627.2,1786415923.2
3110677299.2,3183685632.0,3111487897.6,1626542899.2,1624257331.2,1624594022.4,1765688115.2,1767231488.0,1766007193.6,1783058841.6
3092213350.4,3077937561.6,3199611289.6,1624549785.6,1628584345.6,1622810624.0,1771563008.0,1778142003.2,1775239168.0,1777183948.8
3045214208.0,3107312025.6,3137505280.0,1622818816.0,1623339008.0,1622810624.0,1792544768.0,1777302732.8,1768525004.8,1790612275.2
3076267212.8,3077098291.2,3150094336.0,1622818816.0,1623339008.0,1622810624.0,1815205068.8,1776463462.4,1768525004.8,1782219571.2
3088856268.8,3109829836.8,3145058713.6,1629952409.6,1623339008.0,1622810624.0,1788348416.0,1782338355.2,1773560627.2,1783058841.6
3123266355.2,3114865459.2,3158487040.0,1623605248.0,1623339008.0,1628422963.2,1798419660.8,1780659814.4,1768525004.8,1789773004.8
3049410560.0,3184524902.4,3139183820.8,1623447961.6,1626486374.4,1622810624.0,1784991334.4,1769749299.2,1766846464.0,1777183948.8
3068713779.2,3155989708.8,3158487040.0,1623343104.0,1626171801.6,1622286336.0,1797580390.4,1784856166.4,1771882086.4,1774666137.6
3103123865.6,3150954086.4,3126594764.8,1623185817.6,1622814720.0,1622024192.0,1791705497.6,1763035136.0,1773560627.2,1801522790.4
3084659916.8,3114026188.8,3143380172.8,1623080960.0,1622814720.0,1622024192.0,1798419660.8,1771427840.0,1772721356.8,1785576652.8
3051928371.2,3107312025.6,3163522662.4,1626516684.8,1624493260.8,1625643417.6,1795901849.6,1767231488.0,1781114060.8,1763755622.4
3077945753.6,3093883699.2,3142540902.4,1624549785.6,1622814720.0,1622129049.6,1791705497.6,1763874406.4,1771042816.0,1767951974.4
3077945753.6,3074580480.0,3162683392.0,1622818816.0,1626329088.0,1622024192.0,1797580390.4,1778142003.2,1768525004.8,1768791244.8
3150962278.4,3131650867.2,3140862361.6,1622818816.0,1622945792.0,1622024192.0,1804294553.6,1778142003.2,1768525004.8,1777183948.8
3045214208.0,3144239923.2,3112327168.0,1631630950.4,1629895884.8,1622024192.0,1794223308.8,1773106380.8,1769364275.2,1783058841.6
3080463564.8,3164382412.8,3160165580.8,1623605248.0,1623339008.0,1633222656.0,1795062579.2,1782338355.2,1774399897.6,1789773004.8
3080463564.8,3111508377.6,3160165580.8,1623447961.6,1623024435.2,1622758195.2,1786669875.2,1775624192.0,1769364275.2,1793969356.8
3120748544.0,3142561382.4,3153824426.6666665,1623343104.0,1622814720.0,1622286336.0,1790866227.2,1765552947.2,1776078438.4,1783058841.6
3088856268.8,3094722969.6,3148415795.2,1623343104.0,1622814720.0,1622286336.0,1773241548.8,1787373977.6,1766846464.0,1788933734.4
3061999616.0,3089687347.2,3137505280.0,1623343104.0,1622814720.0,1622286336.0,1790026956.8,1763035136.0,1770203545.6,1799844249.6
3134993203.2,3069544857.6,3167719014.4,1630476697.6,1628820684.8,1627793817.6,1790026956.8,1769749299.2,1767685734.4,1767951974.4
3213035520.0,3132490137.6,3147576524.8,1626962329.6,1626014515.2,1623597465.6,1794223308.8,1784856166.4,1766007193.6,1778023219.2
3145893888.0,3142561382.4,3189540044.8,1623579033.6,1622552576.0,1622548480.0,1805133824.0,1770588569.6,1766007193.6,1784737382.4
3129947750.4,3177810739.2,3130791116.8,1623343104.0,1625962086.4,1622548480.0,1788348416.0,1763035136.0,1766846464.0,1783898112.0
3115680153.6,3150954086.4,3157647769.6,1626726400.0,1622552576.0,1622548480.0,1790866227.2,1778981273.6,1773560627.2,1775505408.0
3225624576.0,3151793356.8,3151772876.8,1623343104.0,1622552576.0,1628187033.6,1814365798.4,1773106380.8,1761810841.6,1774666137.6
3181143244.8,3086330265.6,3128273305.6,1623343104.0,1628689612.8,1623177625.6,1783312793.6,1761356595.2,1776917708.8,1791451545.6
3108126720.0,3102276403.2,3170236825.6,1623343104.0,1622631219.2,1622810624.0,1779116441.6,1770588569.6,1765167923.2,1781380300.8
3168554188.8,3080455372.8,3168558284.8,1623238246.4,1629791027.2,1622810624.0,1765688115.2,1778142003.2,1777756979.2,1793130086.4
3167714918.4,3120740352.0,3148415795.2,1623080960.0,1623076864.0,1622810624.0,1802616012.8,1780659814.4,1778596249.6,1792290816.0
3160161484.8,3112347648.0,3155969228.8,1628719513.6,1623076864.0,1630049075.2,1804294553.6,1778142003.2,1766007193.6,1776344678.4
3134983372.8,3176971468.8,3165201203.2,1625965772.8,1623076864.0,1625013452.8,1802616012.8,1772267110.4,1771882086.4,1787255193.6
3131626291.2,3142561382.4,3118812439.2727275,1623343104.0,1623076864.0,1623334912.0,1792544768.0,1775624192.0,1766007193.6,1783058841.6
3167714918.4,3175292928.0,3232156330.6666665,1623343104.0,1628348416.0,1623334912.0,1784991334.4,1777302732.8,1775239168.0,1791451545.6
3166036377.6,3074580480.0,3129494062.5454545,1630293196.8,1625279692.8,1623334912.0,1797580390.4,1768910028.8,1775239168.0,1772148326.4
3126590668.8,3103115673.6,3130791116.8,1623605248.0,1626748518.4,1623308697.6,1772402278.4,1760517324.8,1775239168.0,1782219571.2
3135822643.2,3070384128.0,3158487040.0,1623185817.6,1623339008.0,1628344320.0,1785830604.8,1768070758.4,1766846464.0,1800683520.0
3155125862.4,3095562240.0,3158487040.0,1622818816.0,1626696089.6,1622863052.8,1794223308.8,1770588569.6,1772721356.8,1778023219.2
3181982515.2,3129972326.4,3132469657.6,1622818816.0,1623339008.0,1622810624.0,1796741120.0,1770588569.6,1766007193.6,1789773004.8
3115680153.6,3177810739.2,3154290688.0,1622818816.0,1624834048.0,1622810624.0,1785830604.8,1762195865.6,1766007193.6,1799844249.6
3144215347.2,3170257305.6,3130791116.8,1628483584.0,1626696089.6,1628108390.4,1797580390.4,1764713676.8,1767685734.4,1789773004.8
3168554188.8,3145079193.6,3152612147.2,1625021644.8,1622552576.0,1623334912.0,1795901849.6,1776463462.4,1776917708.8,1773826867.2
3164357836.8,3110669107.2,3157647769.6,1623343104.0,1635377152.0,1622548480.0,1796741120.0,1777302732.8,1783631872.0,1784737382.4
3142536806.4,3098080051.2,3153451417.6,1623343104.0,1623339008.0,1622391193.6,1805133824.0,1778142003.2,1767685734.4,1773826867.2
3144215347.2,3089687347.2,3169397555.2,1630319411.2,1623339008.0,1622024192.0,1793384038.4,1763874406.4,1781114060.8,1793130086.4
3168554188.8,3074580480.0,3147576524.8,1623867392.0,1623339008.0,1629262643.2,1810169446.4,1777302732.8,1779435520.0,1791451545.6
3208839168.0,3119061811.2,3110648627.2,1623867392.0,1623339008.0,1624620236.8,1782473523.2,1768910028.8,1770203545.6,1767951974.4
3124912128.0,3135007948.8,3164361932.8,1623867392.0,1626696089.6,1622731980.8,1784991334.4,1761356595.2,1768525004.8,1770469785.6
3151768780.8,3161864601.6,3155129958.4,1623867392.0,1627535360.0,1622548480.0,1800098201.6,1763874406.4,1760971571.2,1773826867.2
3139179724.8,3131650867.2,3144219443.2,1623867392.0,1623339008.0,1622548480.0,1801776742.4,1778981273.6,1769364275.2,1762077081.6
3214714060.8,3129133056.0,3140862361.6,1629060300.8,1623339008.0,1622548480.0,1779116441.6,1764713676.8,1766846464.0,1773826867.2
3166875648.0,3096401510.4,3131630387.2,1627224473.6,1627404288.0,1630940774.4,1792544768.0,1773106380.8,1773560627.2,1785576652.8
3122394316.8,3090526617.6,3150094336.0,1623867392.0,1624729190.4,1623334912.0,1770723737.6,1773106380.8,1771042816.0,1788094464.0
3149250969.6,3067027046.4,3134148198.4,1623605248.0,1622814720.0,1623334912.0,1774080819.2,1777302732.8,1776917708.8,1779701760.0
3186178867.2,3124097433.6,3197932748.8,1627854028.8,1630131814.4,1622863052.8,1792544768.0,1780659814.4,1765167923.2,1774666137.6
3145893888.0,3144239923.2,3134987468.8,1623867392.0,1625017548.8,1622810624.0,1790026956.8,1774784921.6,1777756979.2,1773826867.2
