total_disk_read_throughput,total_disk_write_throughput,rss,vsize,cpu_usage,rx_bytes_per_ns,tx_bytes_per_ns,latency_p50,latency_p90,latency_p99,request_throughput,errors_per_ns,Normal/Attack
0.011910783,0.011977464,570630144,1847429120,0.699,0.015380819,8.29383e-05,284456687,573632083,731186029,9.7e-09,0,0
0.015001555,0.015055396,565377024,1848268390,0.9,0.015306205,7.96966e-05,310199103,510983601,643413047,2.14e-08,0,0
0.015001555,0.015003006,561871257.6,1865893069,0.897,0.015166873,8.15326e-05,344031047,607558732,766463055,2.24e-08,0,0
0.014096939,0.014170403,561281843.2,1845750579,0.898,0.014376425,7.58144e-05,332700351,557900298,727270961,2.14e-08,0,0
0.015227709,0.015170231,577630617.6,1857500365,0.9,0.015257331,8.11287e-05,290557480,620361897,783294604,2.19e-08,0,0
0.015227709,0.015212792,575573196.8,1841554227,0.9,0.015825149,8.53039e-05,271381923,514848345,695714619,2.17e-08,0,0
0.015453864,0.015252294,555789516.8,1856661094,0.9,0.015281503,8.11176e-05,336377768,643154957,784684393,2.35e-08,0,0
0.014926171,0.014796597,572060876.8,1870928691,0.899,0.015154634,8.0777e-05,366777745,639751299,773938300,2.14e-08,0,0
0.014624632,0.014626104,558768947.2,1874285773,0.858,0.014944355,7.88631e-05,363282649,628855900,723252693,2.16e-08,0,0
0.014926171,0.015045604,566619340.8,1858339635,0.9,0.015435999,7.89713e-05,343282924,547708851,729719239,2.28e-08,0,0
0.015001555,0.015003058,573888921.6,1853304013,0.899,0.015352658,7.88495e-05,322732835,510351600,702912934,2.18e-08,0,0
0.015001555,0.015055469,560638361.6,1847699456,0.899,0.015334439,7.80977e-05,283757977,417209363,548626886,2.21e-08,0,0
0.014775401,0.014776859,564697088,1853754573,0.879,0.014977713,8.03933e-05,295075764,546265296,685965189,2.25e-08,0,0
0.015378479,0.015320985,570710016,1868022170,0.899,0.016063478,9.32771e-05,315674887,551892520,801730516,2.22e-08,0,0
0.014850786,0.015071683,566857728,1914188186,0.899,0.015716928,8.52739e-05,317015558,1585735464,1870218403,2.22e-08,0,0
0.014700017,0.01481942,588763955.2,2015803392,0.899,0.015036338,7.99242e-05,391904050,2807163856,3276032092,2.19e-08,0,1
0.014775401,0.014776844,571769651.2,2014795366,0.9,0.014857242,7.83655e-05,360247178,2702741638,3090351581,2.17e-08,0,1
0.015001555,0.015003021,563666534.4,1877736243,0.899,0.01525491,8.29174e-05,352443741,1052594141,1486136035,2.23e-08,0,1
0.014700017,0.014766694,602422886.4,2113664614,0.89,0.014592505,7.79831e-05,475744473,3397407705,3596001535,2.04e-08,0,1
0.015152325,0.015012901,574088806.4,1915262157,0.897,0.014791477,7.90792e-05,386050506,1504880354,1749019242,2.24e-08,0,0
0.016132326,0.016081409,589099417.6,1872923443,0.898,0.016128992,9.07662e-05,350940112,644168003,764809140,2.3e-08,0,0
0.015604633,0.015606157,588514099.2,1865370010,0.902,0.015815111,8.46433e-05,293024756,639280934,753297120,2.23e-08,0,0
0.015604633,0.015606128,598481715.2,1845227520,0.899,0.01570723,8.3305e-05,307572441,484761411,607349762,2.2e-08,0,0
0.014926171,0.014868626,586783129.6,1867048550,0.887,0.015069325,8.05266e-05,300180848,605333205,736583293,2.24e-08,0,0
0.014775401,0.014223136,592279142.4,1866209280,0.885,0.014408598,7.8121e-05,385497677,653312274,725115913,2.21e-08,0,0
0.015303094,0.015304641,588221235.2,1844388250,0.899,0.015636011,8.64547e-05,279077288,529706315,641998382,2.19e-08,0,0
0.014850786,0.014852259,591027404.8,1837674086,0.899,0.014942692,7.82657e-05,287693058,450353384,699519006,2.29e-08,0,0
0.014775401,0.014717901,583380172.8,1846066790,0.899,0.01489528,7.66272e-05,294166199,440675500,572271875,2.19e-08,0,0
0.015303094,0.015193215,598558310.4,1861173658,0.898,0.015091986,8.00783e-05,320674446,603483724,739381006,2.22e-08,0,0
0.014850786,0.01492439,599202611.2,1844388250,0.9,0.015369158,7.86466e-05,266881644,464685941,572235539,2.26e-08,0,0
0.015227709,0.015442199,588208128,1850263142,0.898,0.016124172,8.89432e-05,293281979,597521130,723347653,2.25e-08,0,0
0.015303094,0.015245609,590726758.4,1860334387,0.883,0.015570691,8.4886e-05,314913771,601815425,690431407,2.24e-08,0,0
0.015378479,0.015320964,598122496,1871244902,0.897,0.015427585,8.58356e-05,364295600,671254485,725439036,2.22e-08,0,0
0.015755402,0.015691315,587221811.2,1867887821,0.898,0.015779961,8.29623e-05,327367058,655357956,743196958,2.25e-08,0,0
0.015303094,0.015422623,592098099.2,1857816576,0.901,0.015818321,8.211e-05,294066705,596156670,706223350,2.3e-08,0,0
